"treatment" "trial_name" "Distance moved Center-point Total cm" "In zone External zone / Center-point Frequency" "In zone External zone / Center-point Cumulative Duration s" "In zone External zone / Center-point Latency to First s" "In zone External zone / Center-point Cumulative Duration %" "In zone 2 Transition zone / Center-point Frequency" "In zone 2 Transition zone / Center-point Cumulative Duration s" "In zone 2 Transition zone / Center-point Latency to First s" "In zone 2 Transition zone / Center-point Cumulative Duration %" "In zone 3 Center zone / Center-point Frequency" "In zone 3 Center zone / Center-point Cumulative Duration s" "In zone 3 Center zone / Center-point Latency to First s" "In zone 3 Center zone / Center-point Cumulative Duration %" "Acceleration Center-point Minimum cm/s²" "Acceleration Center-point Mean cm/s²" "Acceleration Center-point Maximum cm/s²" "Acceleration Center-point Variance (cm/s²)²" "Turn angle Center-point / relative Minimum deg" "Turn angle Center-point / relative Mean deg" "Turn angle Center-point / relative Maximum deg" "Turn angle Center-point / relative Variance deg²" "Head direction Head direction line Mean deg" "Head direction Head direction line Standard Deviation deg" "Head direction Head direction line Variance deg²" "Mobility Body fill Minimum %" "Mobility Body fill Mean %" "Mobility Body fill Maximum %" "Mobility Body fill Variance %²" "Body angle Minimum deg" "Body angle Mean deg" "Body angle Maximum deg" "Body angle Variance deg²" "ID"
"Amont" 61 2609.52 19 263.872 "11.0671" 87.9288 25 18.9813 "10.4236" 6.32504 7 17.244 "0" 5.74614 -406.007 0.0308774 447.913 2394.12 -179.911 0.500509 179.951 1180.18 -113.29 133.209 3062.77 0.711642 28.5474 100 217.773 -82.5152 1.5351 74.3635 404.679 64
"Amont" 62 3126.08 47 158.158 "38.1778" 52.7061 75 64.9623 "37.1784" 21.6486 29 76.9553 "0" 25.6453 -478.647 0.0447667 693.43 1338.48 -178.761 0.546204 179.642 1118.1 -4.57285 116.545 2868.05 0.489772 18.3396 82.7349 137.3 -67.997 0.542289 77.6747 256.03 65
"Amont" 63 2637.22 34 228.506 "3.39786" 76.1532 52 43.9724 "2.74827" 14.6545 19 27.4827 "0.099937" 9.15903 -700.188 0.0110327 805.903 1352.87 -173.018 1.09014 176.624 331.148 -56.0985 144.384 3145.62 1.4094 18.3821 84.0386 98.6824 -68.1638 2.56866 74.2285 295.194 66
"Amont" 64 1999.95 33 199.529 "0.699577" 78.8663 46 36.7278 "0.549667" 14.5171 13 16.1902 "65.2106" 6.39937 -2024.98 -0.485975 1868.07 4924.03 -179.98 1.04616 179.969 4223.5 159.802 96.8713 2496.63 0 21.3535 100 241.771 -71.0765 -1.45988 71.4306 122.815 63
"Amont" 71 129.484 1 0.39961 "0.099902" 0.133178 1 0.049951 "0.499512" 0.0166472 1 299.507 "0.549463" 99.8169 -3880.42 -0.165364 3873.97 5195.45 -179.997 3.59037 179.986 14485.6 54.539 7.06972 24.8956 0.224215 1.9439 83.9399 3.78904 -47.9459 -0.812385 37.0768 7.6988 77
"Amont" 72 720.812 9 205.207 "81.3235" 68.3869 11 13.0877 "80.9239" 4.36158 3 81.7731 "0" 27.2515 -264.659 -0.00835193 261.334 601.683 -179.975 -1.49708 179.979 11365.8 -155.264 96.0331 2477.03 0.27027 7.08303 73.4059 117.206 -50.144 -3.82669 55.3749 45.7266 78
"Amont" 73 405.347 2 296.314 "1.09894" 98.7515 3 1.4486 "0.949084" 0.48277 2 2.29778 "0" 0.765773 -308.318 0.00215032 178.384 195.77 -179.954 -6.90076 179.987 10192.8 -165.841 27.5495 358.376 0.163506 4.00878 77.9307 47.1815 -63.3833 6.35865 35.5183 34.6677 79
"Amont" 74 1234.5 26 83.4705 "148.858" 27.8175 39 46.4058 "148.059" 15.4653 14 170.188 "0" 56.7172 -258.867 0.0340245 211.347 482.192 -179.999 -6.0731 179.984 6011.13 41.8932 70.4729 1742.06 0.53135 10.0378 72.7136 111.388 -64.7228 7.47658 66.9363 187.27 80
"Amont" 75 811.701 6 292.321 "0.149857" 97.4197 7 6.14415 "0.049952" 2.04761 2 1.59848 "0" 0.532712 -521.091 -0.120263 215.062 392.742 -179.999 0.426843 179.998 6713.52 48.5441 64.6339 1545.35 0.323924 7.85862 66.6836 64.0551 -65.3673 3.29511 70.5641 88.9292 81
"Amont" 76 1024.7 12 178.135 "102.854" 59.3641 16 15.3358 "101.206" 5.1107 5 106.601 "0" 35.5252 -402.73 -0.00451088 652.594 1157.67 -179.975 0.293331 179.988 8377.84 78.651 80.6178 2062.86 0 12.9013 100 155.888 -166.472 -1.50355 54.9978 81.4117 82
"Amont" 77 2189.64 17 269.956 "0.699367" 89.9617 26 20.2816 "0.499547" 6.75878 10 9.59132 "0.249773" 3.19627 -713.887 -0.0664153 752.612 2560.61 -179.98 -2.06412 179.937 3558.61 65.3009 95.8698 2473.17 0.477961 12.9559 88.4803 96.9954 -70.3701 0.730005 80.768 186.06 83
"Amont" 78 738.014 11 154.873 "0.549549" 51.6151 23 132.541 "0.449631" 44.1725 12 12.19 "135.789" 4.0626 -237.121 -0.0471601 515.639 461.408 -179.989 0.319603 179.995 8523.62 -129.969 69.6042 1713.24 0.361011 5.30644 85.2481 94.0946 -63.0942 -2.74806 67.8943 74.0762 84
"Amont" 79 610.136 7 287.307 "1.09907" 95.7383 10 9.29215 "0.649451" 3.09639 4 3.44709 "0.049957" 1.14866 -428.997 -0.071669 436.055 4461.14 -179.982 -5.21211 179.998 9764.02 29.7501 50.2356 1047.61 0.0368936 3.51191 57.0529 36.2584 -57.7312 4.71221 63.7955 49.3151 85
"Amont" 80 4388.99 60 199.391 "1.14908" 66.4502 98 61.8507 "0.949243" 20.6127 39 38.0197 "0.799363" 12.6707 -1001.85 -0.0724776 2408.25 5518.77 -175.951 0.166946 179.421 413.611 28.3666 154.75 3197.26 1.15411 23.7105 100 119.414 -120.268 -1.94645 82.4674 307.299 86
"Amont" 91 120.393 1 247.761 "52.2995" 82.5703 1 0.84918 "51.4504" 0.283003 1 51.4504 "0" 17.1467 -165.744 -0.022639 105.326 76.1789 -179.999 -13.3465 179.998 13446.4 49.5665 19.2922 180.918 0.188561 1.80405 49.0775 7.08057 -28.0203 -0.456467 20.9573 10.3916 97
"Amont" 92 469.695 3 7.54272 "137.817" 2.51373 11 40.6608 "0.549469" 13.5509 8 251.308 "0.599421" 83.7523 -4660.76 -0.78289 182.765 4076.96 -179.998 -0.0527037 179.983 9401.83 -103.284 50.6153 1060.61 0 9.39566 100 56.2204 -57.8609 -1.19821 176.556 49.9342 98
"Amont" 93 979.695 3 297.263 "0" 99.0678 2 2.7973 "48.2534" 0.932246 0 0 "-" 0 -484.111 -0.11051 563.528 2503.92 -179.966 -0.306416 179.975 6110.74 109.181 88.3901 2284.06 0.130662 6.80711 70.8836 68.1248 -87.6452 3.73965 72.6429 125.181 99
"Amont" 94 817.89 5 294.066 "3.09701" 98.0023 5 3.49662 "2.49759" 1.16531 1 1.89817 "0.599421" 0.632596 -283.233 0.0484306 424.354 377.237 -179.997 0.148785 179.997 13849.3 31.5998 35.8287 582.998 0.479386 5.69572 69.5508 101.753 -65.6697 -7.96732 66.9274 58.066 100
"Amont" 95 2002.27 10 283.347 "2.49777" 94.4232 14 8.99197 "1.69848" 2.9965 5 7.69313 "0.049955" 2.56368 -315.754 -0.00748676 400.223 1065.14 -179.59 0.119962 179.457 528.121 -3.89143 147.389 3162.77 2.07101 18.5451 100 118.067 -89.2655 -0.161017 78.9644 252.919 101
"Amont" 96 2468.62 17 230.469 "40.5682" 76.8065 24 22.1826 "39.8188" 7.39261 8 47.3129 "0.099921" 15.7676 -379.781 -0.00311806 374.244 723.966 -179.84 0.572118 179.993 3326.27 99.045 148.474 3168.5 0.511836 13.0656 77.3873 92.4822 -60.1709 -1.46527 65.0314 118.056 102
"Amont" 97 3448.83 37 229.828 "30.9268" 76.5901 54 29.7277 "30.5271" 9.90676 18 40.5197 "0" 13.5032 -410.782 0.0147526 484.879 1665.55 -179.689 -1.17435 179.954 3172.48 -157.041 106.47 2698.81 0.503074 15.8404 76.7846 132.393 -73.6548 -1.38409 86.2694 244.464 103
"Amont" 98 2800.93 21 216.036 "61.2034" 71.9947 26 18.2361 "59.9044" 6.07726 6 65.6001 "0.199848" 21.8615 -366.044 0.033167 535.509 1188.6 -179.969 0.488214 179.91 3077.08 -85.3064 102.29 2615.8 0 22.9409 100 178.305 -62.8435 -0.0369686 69.7016 102.317 104
"Amont" 99 752.35 7 90.6854 "196.51" 30.2198 11 9.64313 "196.11" 3.21345 5 199.758 "0" 66.5668 -290.977 0.00205106 290.798 406.354 -179.858 8.66762 179.979 6301.34 31.1798 51.6746 1096.98 0.121988 5.36944 74.5679 68.2872 -66.0625 -8.60132 179.291 104.067 105
"Amont" 107 112.188 0 0 "-" 0 27 124.23 "160.845" 41.4017 27 175.83 "0" 58.5983 -108.664 -0.0118022 179.789 72.307 -179.983 8.03671 179.958 12645.4 -113.442 5.29253 13.9756 0.354191 1.61383 29.287 2.32701 -13.4988 -4.44179 11.2898 7.79982 118
"Amont" 108 1875.1 15 279.184 "0.299714" 93.0415 20 14.8858 "92.4119" 4.96088 6 5.69457 "93.3111" 1.89779 -401.903 0.0194754 419.959 3912.32 -179.997 1.42052 179.975 2558.78 -55.8421 111.822 2794.01 0 13.6669 68.4914 67.5223 -64.8233 1.56966 97.0305 133.024 119
"Amont" 109 530.366 3 296.96 "0.549463" 98.9679 3 1.44859 "193.811" 0.48277 1 1.09893 "194.56" 0.366239 -305.794 0.00355011 475.877 367.352 -179.988 2.55135 179.987 12206 -45.4338 36.7479 610.293 0.4313 5.47067 78.0303 82.5984 -70.0961 -13.3222 72.0571 94.892 120
"Amont" 110 2146.86 29 272.384 "0.499512" 90.7774 34 23.9266 "0.299707" 7.97403 6 3.54654 "0.199804" 1.18195 -777.777 -0.244387 535.555 986.566 -179.964 7.84015 179.944 5003.35 100.21 80.5369 2060.43 0.277008 19.0342 98.1591 257.718 -60.8097 1.93528 70.9276 117.882 121
"Amont" 111 1069.42 5 289.827 "1.34873" 96.5873 7 8.44206 "1.09896" 2.81338 3 1.64845 "0.149858" 0.549359 -1136.23 0.049549 1056.72 1722.09 -180 21.5565 180 7140.96 -86.5879 66.6469 1613.89 0 7.19524 75.146 95.0122 -83.7729 -1.09751 78.5934 151.619 122
