"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"100" "Amont" 817.89 3.09701 98.0023 2.49759 1.16531 0.632596 377.237 101.753 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 3.619 73.669
"101" "Amont" 2002.27 2.49777 94.4232 1.69848 2.9965 2.56368 1065.14 118.067 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 3.167 72.05
"102" "Amont" 2468.62 40.5682 76.8065 39.8188 7.39261 15.7676 723.966 92.4822 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 6.358 89.535
"103" "Amont" 3448.83 30.9268 76.5901 30.5271 9.90676 13.5032 1665.55 132.393 1015954.45152498 456824.292227894 614632.581254759 128.780900611798 8932.99588994545 13094.4279597675 "Lees Athas" "Lees Athas.Amont" 16 118.454
"104" "Amont" 2800.93 61.2034 71.9947 59.9044 6.07726 21.8615 1188.6 178.305 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.86 59.723
"105" "Amont" 752.35 196.51 30.2198 196.11 3.21345 66.5668 406.354 68.2872 1016147.73333293 759102.416588648 370210.966149861 61.1595249032312 7214.00171398553 4364.89865767717 "Lees Athas" "Lees Athas.Amont" 6.639 90.471
"118" "Amont" 112.188 NA 0 160.845 41.4017 58.5983 72.307 2.32701 1053841.15061891 398383.238600525 656172.327590848 6.69461511909071 11.4813637982604 13.4118074834729 "Cauterets" "Cauterets.Amont" 2.632 66.603
"119" "Amont" 1875.1 0.299714 93.0415 92.4119 4.96088 1.89779 3912.32 67.5223 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 4.325 76.76
"120" "Amont" 530.366 0.549463 98.9679 193.811 0.48277 0.366239 367.352 82.5984 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 2.83 66.523
"121" "Amont" 2146.86 0.499512 90.7774 0.299707 7.97403 1.18195 986.566 257.718 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 2.29 63.671
