"poisson" "fs" "frame" "pts" "X" "Y" "angle"
2 "002_fs1" 1 40 75.1068719654142 30.7504837043873 -141.313842097936
2 "002_fs1" 2 1 104.480135249366 41.016563304794 -159.177269399093
2 "002_fs1" 2 2 103.521071022189 40.9030868772927 -159.177269399093
2 "002_fs1" 2 3 102.567784728125 40.7779032458305 -159.177269399093
2 "002_fs1" 2 4 101.620298694645 40.6410755213513 -159.177269399093
2 "002_fs1" 2 5 100.678635249223 40.4926668147983 -159.177269399093
2 "002_fs1" 2 6 99.742816719329 40.3327402371152 -159.177269399093
2 "002_fs1" 2 7 98.8128654324358 40.1613588992455 -159.177269399093
2 "002_fs1" 2 8 97.8888037160155 39.9785859121327 -159.177269399093
2 "002_fs1" 2 9 96.9706538975398 39.7844843867204 -159.177269399093
2 "002_fs1" 2 10 96.0584383044809 39.5791174339522 -159.177269399093
2 "002_fs1" 2 11 95.1521792643108 39.3625481647715 -159.177269399093
2 "002_fs1" 2 12 94.2518991045014 39.1348396901219 -159.177269399093
2 "002_fs1" 2 13 93.3576201525248 38.8960551209469 -159.177269399093
2 "002_fs1" 2 14 92.4693647358528 38.6462575681901 -159.177269399093
2 "002_fs1" 2 15 91.5871551819577 38.385510142795 -159.177269399093
2 "002_fs1" 2 16 90.7110138183112 38.1138759557052 -159.177269399093
2 "002_fs1" 2 17 89.8409629723855 37.8314181178641 -159.177269399093
2 "002_fs1" 2 18 88.9770249716526 37.5381997402154 -159.177269399093
2 "002_fs1" 2 19 88.1192221435843 37.2342839337026 -159.177269399093
2 "002_fs1" 2 20 87.2675768156528 36.9197338092691 -159.177269399093
2 "002_fs1" 2 21 86.42211131533 36.5946124778586 -159.177269399093
2 "002_fs1" 2 22 85.582847970088 36.2589830504146 -159.177269399093
2 "002_fs1" 2 23 84.7498091073986 35.9129086378805 -159.177269399093
2 "002_fs1" 2 24 83.923017054734 35.5564523512001 -159.177269399093
2 "002_fs1" 2 25 83.1024941395661 35.1896773013167 -159.177269399093
2 "002_fs1" 2 26 82.288262689367 34.812646599174 -159.177269399093
2 "002_fs1" 2 27 81.4803450316085 34.4254233557155 -159.177269399093
2 "002_fs1" 2 28 80.6787634937628 34.0280706818846 -159.177269399093
2 "002_fs1" 2 29 79.8835404033018 33.620651688625 -159.177269399093
2 "002_fs1" 2 30 79.0946980876975 33.2032294868802 -159.177269399093
2 "002_fs1" 2 31 78.3122588744219 32.7758671875937 -159.177269399093
2 "002_fs1" 2 32 77.536245090947 32.3386279017091 -159.177269399093
2 "002_fs1" 2 33 76.7666790647449 31.8915747401699 -159.177269399093
2 "002_fs1" 2 34 76.0035831232874 31.4347708139196 -159.177269399093
2 "002_fs1" 2 35 75.2469795940467 30.9682792339018 -159.177269399093
2 "002_fs1" 2 36 74.4968908044946 30.49216311106 -159.177269399093
2 "002_fs1" 2 37 73.7533390821033 30.0064855563378 -159.177269399093
2 "002_fs1" 2 38 73.0163467543447 29.5113096806787 -159.177269399093
2 "002_fs1" 2 39 72.2836891669094 29.0066985950262 -159.177269399093
2 "002_fs1" 2 40 71.5502329111851 28.4927154103239 -159.177269399093
2 "002_fs1" 3 1 120.710059171598 7.20422180014478 147.981209509387
2 "002_fs1" 3 2 120.014501918541 7.92216795988523 147.981209509387
2 "002_fs1" 3 3 119.312390635743 8.63326098934053 147.981209509387
2 "002_fs1" 3 4 118.603776107879 9.33718476674383 147.981209509387
2 "002_fs1" 3 5 117.888709119627 10.0336231703282 147.981209509387
2 "002_fs1" 3 6 117.167240455665 10.7222600783266 147.981209509387
2 "002_fs1" 3 7 116.439420900667 11.4027793689723 147.981209509387
2 "002_fs1" 3 8 115.705301239312 12.0748649204983 147.981209509387
2 "002_fs1" 3 9 114.964932256277 12.7382006111376 147.981209509387
2 "002_fs1" 3 10 114.218364736238 13.3924703191235 147.981209509387
2 "002_fs1" 3 11 113.465649463873 14.0373579226889 147.981209509387
2 "002_fs1" 3 12 112.706837223857 14.6725473000669 147.981209509387
2 "002_fs1" 3 13 111.941978800869 15.2977223294907 147.981209509387
2 "002_fs1" 3 14 111.171124979585 15.9125668891932 147.981209509387
2 "002_fs1" 3 15 110.394326544682 16.5167648574077 147.981209509387
2 "002_fs1" 3 16 109.611634280836 17.1100001123672 147.981209509387
2 "002_fs1" 3 17 108.823098972726 17.6919565323047 147.981209509387
2 "002_fs1" 3 18 108.028771405027 18.2623179954533 147.981209509387
2 "002_fs1" 3 19 107.228702362416 18.8207683800463 147.981209509387
2 "002_fs1" 3 20 106.422942629571 19.3669915643165 147.981209509387
