"poisson" "fs" "time" "treatment" "Y" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief"
"14" "014_fs1" 33.2 "aval" 0.00519566887220477 "14.014_fs1" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs1" 41.5 "aval" 0.0029158861129248 "14.014_fs1" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs1" 49.8 "aval" -0.00311121749435714 "14.014_fs1" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs1" 58.1 "aval" 0.00656592125021821 "14.014_fs1" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs1" 66.4 "aval" -0.00395359303845317 "14.014_fs1" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs2" 24.9 "aval" 0.00427435284285786 "14.014_fs2" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs2" 33.2 "aval" -0.00139056770908816 "14.014_fs2" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs2" 41.5 "aval" 0.00704192461684137 "14.014_fs2" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs2" 49.8 "aval" -0.00488843079068087 "14.014_fs2" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs2" 58.1 "aval" -0.00678623410864892 "14.014_fs2" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs2" 66.4 "aval" 0.0025243636718929 "14.014_fs2" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs3" 24.9 "aval" -0.00160934997359437 "14.014_fs3" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs3" 33.2 "aval" 0.00595478928794169 "14.014_fs3" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs3" 41.5 "aval" 0.00631544464218113 "14.014_fs3" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs3" 49.8 "aval" -0.00776943465880847 "14.014_fs3" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs3" 58.1 "aval" 0.000867334222086646 "14.014_fs3" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs3" 66.4 "aval" -0.000522537858942567 "14.014_fs3" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs3" 74.7 "aval" -0.00286171638744998 "14.014_fs3" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"14" "014_fs3" 83 "aval" 0.000894940297138821 "14.014_fs3" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
"15" "015_fs1" 24.9 "aval" 0.00900022400605705 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs1" 33.2 "aval" 0.0016380129713949 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs1" 41.5 "aval" 0.00506675084913444 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs1" 49.8 "aval" -5.53845216807813e-05 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs1" 58.1 "aval" 0.00710028169401516 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs1" 66.4 "aval" -0.000953191262049166 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs1" 74.7 "aval" -0.000403911156620225 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs1" 83 "aval" -0.000267618507211043 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs1" 91.3 "aval" 0.00350660061760544 "15.015_fs1" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 24.9 "aval" 0.00758466676698247 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 33.2 "aval" 0.00337442462988324 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 41.5 "aval" 0.000956313819639949 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 49.8 "aval" 0.00183647989564262 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 58.1 "aval" 0.00632970598617544 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 66.4 "aval" -0.00596567729247702 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 74.7 "aval" 0.00325675839220373 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 83 "aval" -0.00443119441127184 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 91.3 "aval" 0.00691060880472362 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"15" "015_fs2" 99.6 "aval" 0.00174488559439529 "15.015_fs2" "Cauterets" "Cauterets.aval" 3.823 74.055 "16.9" "11-12"
"16" "016_fs1" 24.9 "aval" 0.00908883372764441 "16.016_fs1" "Lees Athas" "Lees Athas.aval" 7.844 94.31 "17.2" "11-12"
"16" "016_fs1" 33.2 "aval" -0.0031858866455699 "16.016_fs1" "Lees Athas" "Lees Athas.aval" 7.844 94.31 "17.2" "11-12"
