"ID" "pool" "treatment"
"101" "Cauterets" "amont"
"102" "Lees Athas" "amont"
"103" "Lees Athas" "amont"
"104" "Cauterets" "amont"
"105" "Lees Athas" "amont"
"106" "Cauterets" NA
"107" "Cauterets" "aval"
"108" "Cauterets" "aval"
"109" "Cauterets" "aval"
"110" "Lees Athas" "aval"
"111" "Cauterets" "aval"
"112" "Cauterets" "aval"
"113" "Cauterets" NA
"114" "Lees Athas" "aval"
"115" "Cauterets" NA
"116" "Cauterets" NA
"117" "Lees Athas" NA
"118" "Cauterets" "amont"
"119" "Cauterets" "amont"
"120" "Cauterets" "amont"
"121" "Cauterets" "amont"
"122" "Cauterets" "amont"
"123" "Cauterets" "amont"
"124" "Cauterets" "amont"
"125" "Cauterets" "amont"
"126" "Lees Athas" "amont"
"127" "Lees Athas" "amont"
"128" "Cauterets" "aval"
"129" "Cauterets" "aval"
"130" "Cauterets" "aval"
"131" "Lees Athas" "aval"
"132" "Lees Athas" "aval"
"134" "Cauterets" "aval"
"135" "Lees Athas" "aval"
"136" "Lees Athas" "aval"
"137" "Lees Athas" "aval"
"138" "Cauterets" "amont"
"139" "Cauterets" "amont"
"140" "Cauterets" "amont"
"141" "Cauterets" "amont"
"142" "Cauterets" "amont"
"143" "Cauterets" "amont"
"144" "Cauterets" "amont"
"145" "Cauterets" "amont"
"146" "Cauterets" "amont"
"147" "Lees Athas" "amont"
"148" "Lees Athas" NA
"149" "Lees Athas" NA
"150" "Lees Athas" "aval"
"151" "Cauterets" "amont"
"152" "Cauterets" "amont"
"153" "Cauterets" "amont"
"154" "Cauterets" "amont"
"155" "Lees Athas" "amont"
"156" "Cauterets" NA
"157" "Cauterets" "aval"
"158" "Cauterets" "aval"
"159" "Cauterets" "aval"
"160" "Cauterets" "aval"
"161" "Lees Athas" "aval"
"162" "Lees Athas" "aval"
"163" "Cauterets" "aval"
"164" "Lees Athas" "aval"
"165" "Cauterets" "aval"
"166" "Lees Athas" NA
"167" "Cauterets" "aval"
"168" "Lees Athas" "aval"
"169" "Lees Athas" "aval"
"170" "Cauterets" "aval"
"171" "Cauterets" "aval"
"172" "Cauterets" "aval"
"173" "Cauterets" "aval"
"174" "Cauterets" "aval"
"175" "Lees Athas" "aval"
"176" "Lees Athas" "aval"
"177" "Cauterets" "amont"
"178" "Cauterets" "amont"
"179" "Cauterets" "amont"
"180" "Cauterets" "amont"
"181" "Cauterets" "aval"
"182" "Lees Athas" "amont"
"183" "Lees Athas" "amont"
"184" "Lees Athas" "amont"
"185" "Cauterets" "amont"
"186" "Lees Athas" "amont"
"187" "Lees Athas" NA
"188" "Lees Athas" "aval"
"189" "Lees Athas" "aval"
"190" "Lees Athas" "aval"
"191" "Lees Athas" "aval"
"192" "Lees Athas" "aval"
"193" "Cauterets" "aval"
"194" "Lees Athas" "amont"
"195" "Cauterets" "amont"
"196" NA "amont"
"197" "Cauterets" "amont"
"198" "Lees Athas" "amont"
"199" "Cauterets" "amont"
"200" "Lees Athas" "amont"
"201" "Cauterets" "amont"
"202" "Lees Athas" "amont"
"203" "Cauterets" "amont"
"204" "Cauterets" "amont"
"205" "Cauterets" "amont"
"206" "Cauterets" "amont"
"207" "Cauterets" "amont"
"208" "Cauterets" "amont"
"209" "Lees Athas" "amont"
