"treatment" "poisson" "fs" "frame" "ratio"
"aval" "16" "016_fs2" "12" -109.519401586326
"aval" "16" "016_fs3" "1" -24.9272955190217
"aval" "16" "016_fs3" "2" -33.4300715535607
"aval" "16" "016_fs3" "3" -38.3745029348417
"aval" "16" "016_fs3" "4" -67.8838310804584
"aval" "16" "016_fs3" "5" -101.151616854372
"aval" "16" "016_fs3" "6" -111.554141138072
"aval" "16" "016_fs3" "7" -111.766380172716
"aval" "16" "016_fs3" "8" -104.800764179551
"aval" "16" "016_fs3" "9" -91.82485057249
"aval" "16" "016_fs3" "10" -69.4017061788688
"aval" "16" "016_fs3" "11" -50.1582427141787
"aval" "16" "016_fs3" "12" -47.7668798047736
"aval" "16" "016_fs3" "13" -30.3686554705198
"aval" "16" "016_fs3" "14" -18.3416888411619
"aval" "16" "016_fs3" "15" -10.7411825795824
"aval" "16" "016_fs3" "16" -4.93724801844047
"aval" "16" "016_fs3" "17" -3.14566259243401
"amont" "17" "017_fs1" "1" 31.3670665000776
"amont" "17" "017_fs1" "2" 49.3564496146384
"amont" "17" "017_fs1" "3" 99.0628643110163
"amont" "17" "017_fs1" "4" 148.218267815013
"amont" "17" "017_fs1" "5" 160.399000724823
"amont" "17" "017_fs1" "6" 167.445058612665
"amont" "17" "017_fs1" "7" 155.079058757892
"amont" "17" "017_fs1" "8" 105.185858000633
"amont" "17" "017_fs1" "9" 80.8823156531932
"amont" "17" "017_fs1" "10" 57.8286982411955
"amont" "17" "017_fs1" "11" 33.0909789376124
"amont" "17" "017_fs1" "12" 23.3765175588383
"amont" "17" "017_fs1" "13" 14.9487853666875
"amont" "17" "017_fs1" "14" 9.76546974987616
"amont" "17" "017_fs1" "15" 7.29715325281552
"amont" "17" "017_fs2" "1" 6.02642309408222
"amont" "17" "017_fs2" "2" 22.9197985802527
"amont" "17" "017_fs2" "3" 93.018404792709
"amont" "17" "017_fs2" "4" 163.488350589976
"amont" "17" "017_fs2" "5" 158.212817364179
"amont" "17" "017_fs2" "6" 121.963902959922
"amont" "17" "017_fs2" "7" 35.1995665758996
"amont" "17" "017_fs2" "8" 2.47305294909469
"amont" "17" "017_fs2" "9" -21.5327863520139
"amont" "17" "017_fs2" "10" -15.9883837096792
"amont" "17" "017_fs2" "11" -4.70161667157899
"amont" "18" "018_fs1" "1" 64.7727867371325
"amont" "18" "018_fs1" "2" 27.000567537148
"amont" "18" "018_fs1" "3" -64.4318978838718
"amont" "18" "018_fs1" "4" -139.538383118504
"amont" "18" "018_fs1" "5" -147.846208031354
"amont" "18" "018_fs1" "6" -66.4929463830028
"amont" "18" "018_fs1" "7" 36.8699580484933
"amont" "18" "018_fs1" "8" 25.6676364957883
"amont" "18" "018_fs1" "9" 15.2581908934806
"amont" "18" "018_fs1" "10" -12.0171075260528
"amont" "18" "018_fs1" "11" -33.8466773329664
"amont" "18" "018_fs2" "1" -7.47335657530709
"amont" "18" "018_fs2" "2" -16.4960772212308
"amont" "18" "018_fs2" "3" -70.891317613467
"amont" "18" "018_fs2" "4" -146.238340780948
"amont" "18" "018_fs2" "5" -168.796949135486
"amont" "18" "018_fs2" "6" -102.942073469304
"amont" "18" "018_fs2" "7" -11.7973559599801
"amont" "18" "018_fs2" "8" 30.4618976475864
"amont" "18" "018_fs2" "9" 57.1862956934091
"amont" "18" "018_fs2" "10" 90.7041712305258
"amont" "18" "018_fs2" "11" 100.89036118335
"amont" "18" "018_fs2" "12" 118.28976000865
"amont" "18" "018_fs2" "13" 122.079814118566
"amont" "18" "018_fs2" "14" 114.778857584731
"amont" "18" "018_fs3" "1" 4.04889914338901
"amont" "18" "018_fs3" "2" 36.9839609270874
"amont" "18" "018_fs3" "3" 95.964059060633
"amont" "18" "018_fs3" "4" 149.340599384149
"amont" "18" "018_fs3" "5" 127.7283572074
"amont" "18" "018_fs3" "6" 114.536208062298
"amont" "18" "018_fs3" "7" 39.3072222235048
"amont" "18" "018_fs3" "8" -5.78298747678988
"amont" "18" "018_fs3" "9" 9.36886914620237
"amont" "18" "018_fs3" "10" 26.7703741996777
"amont" "18" "018_fs3" "11" 26.5515387769992
"amont" "18" "018_fs3" "12" 26.9328920582391
"amont" "18" "018_fs3" "13" 29.8154642241421
"amont" "19" "019_fs1" "1" 15.2947399949972
"amont" "19" "019_fs1" "2" -1.8428250222257
"amont" "19" "019_fs1" "3" -57.7710340874391
"amont" "19" "019_fs1" "4" -104.299604420757
"amont" "19" "019_fs1" "5" -141.002350679701
"amont" "19" "019_fs1" "6" -163.232944813411
"amont" "19" "019_fs1" "7" -136.976552752389
"amont" "19" "019_fs1" "8" -118.389022426868
"amont" "19" "019_fs1" "9" -88.4692294065989
"amont" "19" "019_fs1" "10" -80.6506126432819
"amont" "19" "019_fs1" "11" -63.6666650348218
"amont" "19" "019_fs1" "12" -41.6575776188982
"amont" "19" "019_fs1" "13" -24.6762118000795
"amont" "19" "019_fs1" "14" -22.4544414468623
"amont" "19" "019_fs2" "1" 41.7492089966472
"amont" "19" "019_fs2" "2" 46.1830043572078
"amont" "19" "019_fs2" "3" 64.3490939278432
"amont" "19" "019_fs2" "4" 124.070498289731
"amont" "19" "019_fs2" "5" 138.659894369237
"amont" "19" "019_fs2" "6" 131.592677548253
"amont" "19" "019_fs2" "7" 60.4000932441915
"amont" "19" "019_fs2" "8" -7.14077545495894
"amont" "19" "019_fs2" "9" -54.2446268508363
"amont" "19" "019_fs2" "10" -44.4446447699098
"amont" "19" "019_fs2" "11" -48.0998656327522
"amont" "19" "019_fs2" "12" -57.3001347131841
"amont" "19" "019_fs3" "1" 7.43383429527091
"amont" "19" "019_fs3" "2" 54.7875707980064
"amont" "19" "019_fs3" "3" 109.630465530459
"amont" "19" "019_fs3" "4" 143.07344299034
"amont" "19" "019_fs3" "5" 131.474947626285
"amont" "19" "019_fs3" "6" 70.8846157233938
"amont" "19" "019_fs3" "7" 14.1931576109647
"amont" "19" "019_fs3" "8" -34.2221709599592
"amont" "19" "019_fs3" "9" -33.0445699115631
"amont" "19" "019_fs3" "10" -27.9510537438686
"amont" "19" "019_fs3" "11" -15.4248958782501
"amont" "20" "020_fs1" "1" 13.6686185461894
"amont" "20" "020_fs1" "2" 32.1599043985403
"amont" "20" "020_fs1" "3" 76.6064038244841
"amont" "20" "020_fs1" "4" 138.99410479606
"amont" "20" "020_fs1" "5" 144.425626991082
"amont" "20" "020_fs1" "6" 95.0562042022678
"amont" "20" "020_fs1" "7" 70.6868417102555
"amont" "20" "020_fs1" "8" -45.7564655167031
"amont" "20" "020_fs1" "9" -7.41870464124167
"amont" "20" "020_fs1" "10" -10.2669130969324
"amont" "20" "020_fs2" "1" -87.9059454502669
"amont" "20" "020_fs2" "2" -47.8873485895325
"amont" "20" "020_fs2" "3" 13.7761445558428
"amont" "20" "020_fs2" "4" 69.4084950973053
"amont" "20" "020_fs2" "5" 62.3742122127315
"amont" "20" "020_fs2" "6" 7.55097940150137
"amont" "20" "020_fs2" "7" -25.5833367169685
"amont" "20" "020_fs2" "8" -56.3773420507964
"amont" "20" "020_fs3" "1" -17.5889309584258
"amont" "20" "020_fs3" "2" -23.8250237984925
"amont" "20" "020_fs3" "3" -64.6537855126707
"amont" "20" "020_fs3" "4" -148.117012403381
"amont" "20" "020_fs3" "5" 170.335461752052
"amont" "20" "020_fs3" "6" -149.076278797971
"amont" "20" "020_fs3" "7" -113.885540314293
"amont" "20" "020_fs3" "8" -61.855437288427
"amont" "20" "020_fs3" "9" -35.1024236081906
"amont" "20" "020_fs3" "10" -26.0032635201046
"amont" "21" "021_fs1" "1" -26.6563437967784
"amont" "21" "021_fs1" "2" -17.8417819974998
"amont" "21" "021_fs1" "3" 72.1545329529328
"amont" "21" "021_fs1" "4" 111.009667599566
"amont" "21" "021_fs1" "5" 56.9672352731128
"amont" "21" "021_fs1" "6" -40.0505852286583
"amont" "21" "021_fs1" "7" -83.2151567549377
"amont" "21" "021_fs1" "8" -99.0555972178735
"amont" "21" "021_fs1" "9" -96.0805319808277
"amont" "21" "021_fs1" "10" -102.375348271111
"amont" "21" "021_fs1" "11" -91.0142740637553
"amont" "21" "021_fs1" "12" -91.1721808361723
"amont" "21" "021_fs1" "13" -49.8667831973835
"amont" "21" "021_fs2" "1" 5.35652226922127
"amont" "21" "021_fs2" "2" -1.05841964761288
"amont" "21" "021_fs2" "3" -89.0822722489931
"amont" "21" "021_fs2" "4" -163.398127391338
"amont" "21" "021_fs2" "5" 172.908054530736
"amont" "21" "021_fs2" "6" -127.71505835214
"amont" "21" "021_fs2" "7" -90.9797124647962
"amont" "21" "021_fs2" "8" -54.6985741660545
