"treatment" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief"
"aval" "173" "173_fs3" 0.1162 14.0736500908909 10.116405064922 0.718818856486262 "173.173_fs3" "Cauterets" "Cauterets.aval" 5.598 84.504 "18.5" "9-10"
"aval" "174" "174_fs1" 0.083 6.62613911853184 6.05020565556491 0.913081592060725 "174.174_fs1" "Cauterets" "Cauterets.aval" 1.872 60.633 "18.5" "11-12"
"aval" "174" "174_fs2" 0.1245 9.82269432121341 7.75147646466561 0.789139538621829 "174.174_fs2" "Cauterets" "Cauterets.aval" 1.872 60.633 "18.5" "11-12"
"aval" "174" "174_fs3" 0.1245 10.5464796063293 7.78849108481112 0.738492025351947 "174.174_fs3" "Cauterets" "Cauterets.aval" 1.872 60.633 "18.5" "11-12"
"aval" "175" "175_fs1" 0.1245 12.4554208906038 8.63725139740681 0.693453193855745 "175.175_fs1" "Lees Athas" "Lees Athas.aval" 10.149 102.67 "18.5" "11-12"
"aval" "175" "175_fs2" 0.0996 8.02340509216335 5.98929918529716 0.74647847347843 "175.175_fs2" "Lees Athas" "Lees Athas.aval" 10.149 102.67 "18.5" "11-12"
"aval" "175" "175_fs3" 0.0913 4.06333804641755 2.72922291705921 0.671670160316943 "175.175_fs3" "Lees Athas" "Lees Athas.aval" 10.149 102.67 "18.5" "11-12"
"aval" "176" "176_fs1" 0.0996 9.40510572652826 8.01189880975835 0.8518669585138 "176.176_fs1" "Lees Athas" "Lees Athas.aval" 8.603 98.595 "18.5" "11-12"
"aval" "176" "176_fs2" 0.1162 8.15963336932925 5.81032001408601 0.712081015297338 "176.176_fs2" "Lees Athas" "Lees Athas.aval" 8.603 98.595 "18.5" "11-12"
"aval" "176" "176_fs3" 0.1162 8.12535352827568 6.48678655361767 0.79833899301047 "176.176_fs3" "Lees Athas" "Lees Athas.aval" 8.603 98.595 "18.5" "11-12"
"amont" "177" "177_fs1" 0.1079 5.75521596736097 4.44732360406246 0.772746605737154 "177.177_fs1" "Cauterets" "Cauterets.amont" 2.318 65.3 "18.7" "3-4"
"amont" "177" "177_fs2" 0.1079 5.24189100757095 2.54410195983533 0.48534049184938 "177.177_fs2" "Cauterets" "Cauterets.amont" 2.318 65.3 "18.7" "3-4"
"amont" "177" "177_fs3" 0.0996 6.84789283033909 5.58152671856834 0.815072148010231 "177.177_fs3" "Cauterets" "Cauterets.amont" 2.318 65.3 "18.7" "3-4"
"amont" "177" "177_fs4" 0.0996 4.48246656616849 3.06123396590604 0.682935147583869 "177.177_fs4" "Cauterets" "Cauterets.amont" 2.318 65.3 "18.7" "3-4"
"amont" "178" "178_fs1" 0.1328 13.228287169753 9.22733472399656 0.697545691712471 "178.178_fs1" "Cauterets" "Cauterets.amont" 2.09 60.326 "18.5" "3-4"
"amont" "178" "178_fs2" 0.0996 5.70184747552621 4.24990135974187 0.745355146377298 "178.178_fs2" "Cauterets" "Cauterets.amont" 2.09 60.326 "18.5" "3-4"
"amont" "179" "179_fs1" 0.1079 7.49805227723995 5.53713139355435 0.738475965333304 "179.179_fs1" "Cauterets" "Cauterets.amont" 5.526 84.659 "18.3" "3-4"
"amont" "179" "179_fs2" 0.0996 9.13406438299766 7.53750287223216 0.825207985862528 "179.179_fs2" "Cauterets" "Cauterets.amont" 5.526 84.659 "18.3" "3-4"
"amont" "179" "179_fs3" 0.1079 12.9846730075075 9.38944270615229 0.723117378521852 "179.179_fs3" "Cauterets" "Cauterets.amont" 5.526 84.659 "18.3" "3-4"
"amont" "180" "180_fs1" 0.1079 7.45954035330971 5.46201039677046 0.732218090937337 "180.180_fs1" "Cauterets" "Cauterets.amont" 3.305 70.08 "18.3" "3-4"
"amont" "180" "180_fs2" 0.1079 8.17518681431198 6.59609496597242 0.806843331631871 "180.180_fs2" "Cauterets" "Cauterets.amont" 3.305 70.08 "18.3" "3-4"
"aval" "181" "181_fs1" 0.083 5.42738047380507 3.92957528399472 0.724027973155851 "181.181_fs1" "Cauterets" "Cauterets.aval" 2.262 69.277 "18.3" "3-4"
"amont" "183" "183_fs1" 0.1245 14.9252119046277 11.7793673206444 0.789226136011648 "183.183_fs1" "Lees Athas" "Lees Athas.amont" 7.491 95.056 "18.4" "3-4"
"amont" "183" "183_fs2" 0.1079 5.8579627969311 4.45433745298833 0.760390191505124 "183.183_fs2" "Lees Athas" "Lees Athas.amont" 7.491 95.056 "18.4" "3-4"
"amont" "184" "184_fs1" 0.1079 13.2557953654579 10.844113715809 0.818065866048804 "184.184_fs1" "Lees Athas" "Lees Athas.amont" 10.442 107.561 "18.4" "3-4"
"amont" "184" "184_fs2" 0.1162 10.617029309128 9.39175031092018 0.884593047402214 "184.184_fs2" "Lees Athas" "Lees Athas.amont" 10.442 107.561 "18.4" "3-4"
"amont" "185" "185_fs1" 0.0996 10.1230408151467 8.69967570215863 0.859393522264737 "185.185_fs1" "Cauterets" "Cauterets.amont" 4.025 77.529 "18.6" "3-4"
"amont" "185" "185_fs2" 0.0996 5.23339682531627 4.31046430210999 0.823645606474623 "185.185_fs2" "Cauterets" "Cauterets.amont" 4.025 77.529 "18.6" "3-4"
"amont" "185" "185_fs3" 0.083 7.5502333200891 5.65623025787197 0.749146419465249 "185.185_fs3" "Cauterets" "Cauterets.amont" 4.025 77.529 "18.6" "3-4"
"amont" "186" "186_fs1" 0.0996 6.24575289005239 5.0546556750638 0.809294854286399 "186.186_fs1" "Lees Athas" "Lees Athas.amont" 6.251 88.361 "18.5" "3-4"
"amont" "186" "186_fs2" 0.1245 9.40901761654016 7.92402416371952 0.842173379481173 "186.186_fs2" "Lees Athas" "Lees Athas.amont" 6.251 88.361 "18.5" "3-4"
"aval" "188" "188_fs1" 0.0747 3.8561160735832 2.39177950763836 0.62025609758574 "188.188_fs1" "Lees Athas" "Lees Athas.aval" 3.672 75.823 "18.5" "11-12"
"aval" "188" "188_fs2" 0.1245 5.38085808226336 3.54939044497321 0.659632792894665 "188.188_fs2" "Lees Athas" "Lees Athas.aval" 3.672 75.823 "18.5" "11-12"
"aval" "189" "189_fs1" 0.0581 4.31123543489592 3.12618061172587 0.725124076134185 "189.189_fs1" "Lees Athas" "Lees Athas.aval" 3.638 77.426 "18.5" "11-12"
"aval" "189" "189_fs2" 0.0747 6.90139462712944 5.84933305860223 0.847558120442564 "189.189_fs2" "Lees Athas" "Lees Athas.aval" 3.638 77.426 "18.5" "11-12"
"aval" "189" "189_fs3" 0.083 8.88108051231316 7.80617419142949 0.878966718138252 "189.189_fs3" "Lees Athas" "Lees Athas.aval" 3.638 77.426 "18.5" "11-12"
"aval" "190" "190_fs1" 0.1162 7.37937845078371 4.82007088800192 0.65318114799899 "190.190_fs1" "Lees Athas" "Lees Athas.aval" 9.128 97.663 "18.5" "11-12"
"aval" "190" "190_fs2" 0.1079 9.40636078622251 7.19459065952579 0.764864417072297 "190.190_fs2" "Lees Athas" "Lees Athas.aval" 9.128 97.663 "18.5" "11-12"
"aval" "190" "190_fs3" 0.0996 7.50963896800483 5.36518326721572 0.714439574269061 "190.190_fs3" "Lees Athas" "Lees Athas.aval" 9.128 97.663 "18.5" "11-12"
"aval" "190" "190_fs4" 0.1162 10.4769234889378 8.79013153708271 0.838999306081016 "190.190_fs4" "Lees Athas" "Lees Athas.aval" 9.128 97.663 "18.5" "11-12"
"aval" "191" "191_fs1" 0.0996 10.6678662389298 7.93460762097999 0.743785818388365 "191.191_fs1" "Lees Athas" "Lees Athas.aval" 3.526 75.941 "18.8" "11-12"
"aval" "191" "191_fs2" 0.0996 5.00311998238571 3.43765182204586 0.68710161542171 "191.191_fs2" "Lees Athas" "Lees Athas.aval" 3.526 75.941 "18.8" "11-12"
"aval" "192" "192_fs1" 0.0996 5.89788114932484 3.92198494433441 0.664982024058484 "192.192_fs1" "Lees Athas" "Lees Athas.aval" 5.939 84.346 "19.1" "11-12"
"aval" "193" "193_fs1" 0.1079 5.75672071484812 3.5706895081929 0.620264502146705 "193.193_fs1" "Cauterets" "Cauterets.aval" 2.258 64.321 "19.2" "11-12"
"aval" "193" "193_fs2" 0.083 5.72841289300427 4.55714706027644 0.795533971694285 "193.193_fs2" "Cauterets" "Cauterets.aval" 2.258 64.321 "19.2" "11-12"
"aval" "193" "193_fs3" 0.083 7.17695592112952 5.07209246232897 0.706719188200158 "193.193_fs3" "Cauterets" "Cauterets.aval" 2.258 64.321 "19.2" "11-12"
"amont" "194" "194_fs1" 0.0747 7.25379488905484 5.83145770147402 0.803918196015308 "194.194_fs1" "Lees Athas" "Lees Athas.amont" 1.765 57.885 "19.5" "2"
"amont" "194" "194_fs2" 0.083 5.26415559222461 4.67374003728065 0.887842305456163 "194.194_fs2" "Lees Athas" "Lees Athas.amont" 1.765 57.885 "19.5" "2"
"amont" "195" "195_fs1" 0.083 9.06242839086476 7.93252076660652 0.875319552825683 "195.195_fs1" "Cauterets" "Cauterets.amont" 1.895 60.359 "19.8" "2"
"amont" "195" "195_fs2" 0.0913 8.02017889288937 3.99505177130616 0.498125019985295 "195.195_fs2" "Cauterets" "Cauterets.amont" 1.895 60.359 "19.8" "2"
"amont" "197" "197_fs1" 0.0913 4.43214537194584 2.81864294234442 0.635954533482948 "197.197_fs1" "Cauterets" "Cauterets.amont" 1.89 60.038 "19.4" "3-4"
