"traitement" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency"
"aval" 175 "175_fs3" 0.0913 4.06333804641755 2.72922291705921 0.671670160316943
"aval" 176 "176_fs1" 0.0996 9.40510572652826 8.01189880975835 0.8518669585138
"aval" 176 "176_fs2" 0.1162 8.15963336932925 5.81032001408601 0.712081015297338
"aval" 176 "176_fs3" 0.1162 8.12535352827568 6.48678655361767 0.79833899301047
"amont" 177 "177_fs1" 0.1079 5.75521596736097 4.44732360406246 0.772746605737154
"amont" 177 "177_fs2" 0.1079 5.24189100757095 2.54410195983533 0.48534049184938
"amont" 177 "177_fs3" 0.0996 6.84789283033909 5.58152671856834 0.815072148010231
"amont" 177 "177_fs4" 0.0996 4.48246656616849 3.06123396590604 0.682935147583869
"amont" 178 "178_fs1" 0.1328 13.228287169753 9.22733472399656 0.697545691712471
"amont" 178 "178_fs2" 0.0996 5.70184747552621 4.24990135974187 0.745355146377298
"amont" 179 "179_fs1" 0.1079 7.49805227723995 5.53713139355435 0.738475965333304
"amont" 179 "179_fs2" 0.0996 9.13406438299766 7.53750287223216 0.825207985862528
"amont" 179 "179_fs3" 0.1079 12.9846730075075 9.38944270615229 0.723117378521852
"amont" 180 "180_fs1" 0.1079 7.45954035330971 5.46201039677046 0.732218090937337
"amont" 180 "180_fs2" 0.1079 8.17518681431198 6.59609496597242 0.806843331631871
"aval" 181 "181_fs1" 0.083 5.42738047380507 3.92957528399472 0.724027973155851
"amont" 183 "183_fs1" 0.1245 14.9252119046277 11.7793673206444 0.789226136011648
"amont" 183 "183_fs2" 0.1079 5.8579627969311 4.45433745298833 0.760390191505124
"amont" 184 "184_fs1" 0.1079 13.2557953654579 10.844113715809 0.818065866048804
"amont" 184 "184_fs2" 0.1162 10.617029309128 9.39175031092018 0.884593047402214
"amont" 185 "185_fs1" 0.0996 10.1230408151467 8.69967570215863 0.859393522264737
"amont" 185 "185_fs2" 0.0996 5.23339682531627 4.31046430210999 0.823645606474623
"amont" 185 "185_fs3" 0.083 7.5502333200891 5.65623025787197 0.749146419465249
"amont" 186 "186_fs1" 0.0996 6.24575289005239 5.0546556750638 0.809294854286399
"amont" 186 "186_fs2" 0.1245 9.40901761654016 7.92402416371952 0.842173379481173
"aval" 188 "188_fs1" 0.0747 3.8561160735832 2.39177950763836 0.62025609758574
"aval" 188 "188_fs2" 0.1245 5.38085808226336 3.54939044497321 0.659632792894665
"aval" 189 "189_fs1" 0.0581 4.31123543489592 3.12618061172587 0.725124076134185
"aval" 189 "189_fs2" 0.0747 6.90139462712944 5.84933305860223 0.847558120442564
"aval" 189 "189_fs3" 0.083 8.88108051231316 7.80617419142949 0.878966718138252
"aval" 190 "190_fs1" 0.1162 7.37937845078371 4.82007088800192 0.65318114799899
"aval" 190 "190_fs2" 0.1079 9.40636078622251 7.19459065952579 0.764864417072297
"aval" 190 "190_fs3" 0.0996 7.50963896800483 5.36518326721572 0.714439574269061
"aval" 190 "190_fs4" 0.1162 10.4769234889378 8.79013153708271 0.838999306081016
"aval" 191 "191_fs1" 0.0996 10.6678662389298 7.93460762097999 0.743785818388365
"aval" 191 "191_fs2" 0.0996 5.00311998238571 3.43765182204586 0.68710161542171
"aval" 192 "192_fs1" 0.0996 5.89788114932484 3.92198494433441 0.664982024058484
"aval" 193 "193_fs1" 0.1079 5.75672071484812 3.5706895081929 0.620264502146705
"aval" 193 "193_fs2" 0.083 5.72841289300427 4.55714706027644 0.795533971694285
"aval" 193 "193_fs3" 0.083 7.17695592112952 5.07209246232897 0.706719188200158
"amont" 194 "194_fs1" 0.0747 7.25379488905484 5.83145770147402 0.803918196015308
"amont" 194 "194_fs2" 0.083 5.26415559222461 4.67374003728065 0.887842305456163
"amont" 195 "195_fs1" 0.083 9.06242839086476 7.93252076660652 0.875319552825683
"amont" 195 "195_fs2" 0.0913 8.02017889288937 3.99505177130616 0.498125019985295
"amont" 196 "196_fs1" 0.1328 6.71538863916711 5.04272019436804 0.750920083010039
"amont" 196 "196_fs2" 0.0913 5.13927823084466 3.93079256948604 0.764853038291332
"amont" 196 "196_fs3" 0.0996 13.1338408224913 9.00017948724371 0.685266374770674
"amont" 197 "197_fs1" 0.0913 4.43214537194584 2.81864294234442 0.635954533482948
"amont" 197 "197_fs2" 0.0913 4.61945607609406 3.12292180384549 0.676036691853568
"amont" 198 "198_fs1" 0.0913 7.71245990505065 6.62324737145026 0.858772357067671
"amont" 198 "198_fs2" 0.0913 10.7356612265465 9.28254623675065 0.864645972042906
