"poisson" "fs" "frame" "pts" "X" "Y" "angle" "seg" "angle_diff" "angle_cum_diff" "traitement"
8 "008_fs1" 12 180 84.2179823778945 -5.92582589462256 -4.29330353340141 "segment_10_pts_180-185" -0.895996598654997 320.120197879695 "amont"
8 "008_fs1" 12 186 88.55916973237 -6.23086062511231 -1.20005073569722 "segment_11_pts_186-190" -2.16213803608979 337.410017033851 "amont"
8 "008_fs1" 12 191 92.1810398935078 -6.28803928113439 3.37508755992981 "segment_12_pts_191-200" 1.86052455800193 380.362931186473 "amont"
8 "008_fs2" 8 1 168.182586644125 -82.1716268077839 147.52897662288 "segment_01_pts_1-27" 4.08081624787238 99.3329649666271 "amont"
8 "008_fs2" 8 28 151.38244495773 -71.5188376913145 151.344617386835 "segment_02_pts_28-53" 5.83089965410707 97.5803472288195 "amont"
8 "008_fs2" 8 54 134.685307658972 -62.4001140782401 150.485883805549 "segment_03_pts_54-76" 4.47137151235663 114.865095538471 "amont"
8 "008_fs2" 8 77 119.92247885667 -54.0148897997908 147.728554269464 "segment_04_pts_77-98" 2.54850936956007 122.428473629249 "amont"
8 "008_fs2" 8 99 106.188267182577 -45.3423506736461 149.73358013601 "segment_05_pts_99-119" 14.0756591224379 141.327629847793 "amont"
8 "008_fs2" 8 120 92.7317247620804 -37.5094460881564 143.010708727948 "segment_06_pts_120-139" 26.4333970091077 149.81907593713 "amont"
8 "008_fs2" 8 140 81.2940198371656 -28.6851058048156 124.043104858892 "segment_07_pts_140-156" 32.6673218670309 164.644090434307 "amont"
8 "008_fs2" 8 157 74.2176416651686 -17.9971329617708 100.591451289829 "segment_08_pts_157-170" 23.5085943111321 185.671359576489 "amont"
8 "008_fs2" 8 171 72.4810254133222 -7.82310100873732 84.2763699377439 "segment_09_pts_171-179" 8.93731473584843 220.076679690386 "amont"
8 "008_fs2" 8 180 73.2049256581967 -1.14735639655123 76.770078420569 "segment_10_pts_180-185" 4.26909450345595 182.520429029177 "amont"
8 "008_fs2" 8 186 74.2747264256203 3.19831158853441 69.8321649958823 "segment_11_pts_186-190" -0.0912487946107206 152.691376781419 "amont"
8 "008_fs2" 8 191 75.6050967790319 6.68666742157012 58.3627201325742 "segment_12_pts_191-200" -8.80551414525279 129.932800961051 "amont"
8 "008_fs3" 10 1 0 -105.841207205785 48.6117889607422 "segment_01_pts_1-27" 1.87029990444313 197.747632158918 "amont"
8 "008_fs3" 10 28 14.0029907400605 -89.9397444214982 49.7353247546803 "segment_02_pts_28-53" -8.21924345512551 185.342611175852 "amont"
8 "008_fs3" 10 54 27.1574399324568 -74.3971377201514 51.8708926049772 "segment_03_pts_54-76" -14.9251345207053 178.186282800376 "amont"
8 "008_fs3" 10 77 38.2507969239571 -60.2337583196342 54.845133626222 "segment_04_pts_77-98" -14.5619424542235 207.860438286746 "amont"
8 "008_fs3" 10 99 48.2038321966105 -46.0114856657284 65.0736330805025 "segment_05_pts_99-119" 0.939022620458331 212.846227712285 "amont"
8 "008_fs3" 10 120 54.9665693999236 -31.2919485125102 71.723438768157 "segment_06_pts_120-139" 29.2788650261079 275.396592972331 "amont"
8 "008_fs3" 10 140 59.9509586705536 -16.1163858198899 73.1670067538954 "segment_07_pts_140-156" 55.3691326900901 243.206473924819 "amont"
8 "008_fs3" 10 157 63.8961811328839 -3.31069272617759 54.0315481245694 "segment_08_pts_157-170" 51.0800269616171 295.80353062924 "amont"
8 "008_fs3" 10 171 70.3810994476831 5.23092772105386 29.9132338786393 "segment_09_pts_171-179" 12.4296952392708 208.706317919461 "amont"
8 "008_fs3" 10 180 76.7971700760264 8.80428254349266 16.7667440487783 "segment_10_pts_180-185" -9.37753614694164 213.08519114529 "amont"
8 "008_fs3" 10 186 81.0976675852116 10.0043118304306 3.27380110672683 "segment_11_pts_186-190" -28.5277487320266 243.104918223128 "amont"
8 "008_fs3" 10 191 84.8956771635264 10.1345354374799 -15.9264914077509 "segment_12_pts_191-200" -22.7867237409563 238.368566504247 "amont"
11 "011_fs1" 9 1 0 -69.9473416599882 76.8551665395265 "segment_01_pts_1-27" -5.11102854585732 176.946125123936 "aval"
11 "011_fs1" 9 28 2.63642355072011 -58.6425903627623 77.7674659339861 "segment_02_pts_28-53" -0.595082485005591 168.744807632852 "aval"
11 "011_fs1" 9 54 5.02564748417979 -47.5947670266985 79.2146868085467 "segment_03_pts_54-76" 4.11321365168708 195.955370213307 "aval"
11 "011_fs1" 9 77 6.88929396222022 -37.8078106203982 78.3603738636381 "segment_04_pts_77-98" 8.11456394632157 193.149831831151 "aval"
11 "011_fs1" 9 99 8.8116133454688 -28.5313598981791 75.1096463447802 "segment_05_pts_99-119" 11.5467627204142 199.265734558442 "aval"
