"treatment" "poisson" "fs" "frame" "ratio_snout_tail" "ratio_ant_post"
"amont" "8" "008_fs1" 6 -3.39203406733333 -17.8196964921656
"amont" "8" "008_fs1" 7 -56.8778980291894 -36.2238568718782
"amont" "8" "008_fs1" 8 -36.5759319441759 -31.2349594080849
"amont" "8" "008_fs1" 9 -43.7910094248531 -34.9169979585915
"amont" "8" "008_fs1" 10 -56.4637792602212 -41.1340883102571
"amont" "8" "008_fs1" 11 -61.7529632380426 -39.6135935108871
"amont" "8" "008_fs1" 12 -60.3009167887798 -40.1473270151486
"amont" "8" "008_fs2" 1 29.8249773771412 19.9826551630031
"amont" "8" "008_fs2" 2 2.33037112741016 -0.759697235587225
"amont" "8" "008_fs2" 3 -58.6802341638976 -62.7020458073991
"amont" "8" "008_fs2" 4 -101.026565593894 -74.2154208781639
"amont" "8" "008_fs2" 5 -57.0039070743779 -15.1233953718169
"amont" "8" "008_fs2" 6 51.8709927039918 42.0491404276684
"amont" "8" "008_fs2" 7 71.510296525951 48.720729564354
"amont" "8" "008_fs2" 8 70.927014069331 34.9766253309102
"amont" "8" "008_fs3" 1 12.6617899251056 1.0396362086739
"amont" "8" "008_fs3" 2 -3.96299723883581 -7.85427853235277
"amont" "8" "008_fs3" 3 -96.395824776163 -78.6228749072105
"amont" "8" "008_fs3" 4 -156.779943646978 -123.130244831246
"amont" "8" "008_fs3" 5 -161.462095594492 -111.435913096658
"amont" "8" "008_fs3" 6 -102.130673976869 -59.8156227118816
"amont" "8" "008_fs3" 7 -15.8453298265418 2.67906482868955
"amont" "8" "008_fs3" 8 33.5141673103691 48.3449047848361
"amont" "8" "008_fs3" 9 72.5861918644185 45.3303406503067
"amont" "8" "008_fs3" 10 31.2002528986147 0.590080068138434
"aval" "11" "011_fs1" 1 4.46616587800011 -0.828812213896754
"aval" "11" "011_fs1" 2 -75.1337136905602 -56.3772865993992
"aval" "11" "011_fs1" 3 -161.641833179587 -118.798856261754
"aval" "11" "011_fs1" 4 -56.1986710494989 -45.35090345102
"aval" "11" "011_fs1" 5 -1.85731252902119 8.94166981954567
"aval" "11" "011_fs1" 6 35.0507093420709 32.4232560648912
"aval" "11" "011_fs1" 7 63.3583882710547 44.9277050995705
"aval" "11" "011_fs1" 8 71.8009836718325 44.1845813235936
"aval" "11" "011_fs1" 9 39.3698483238338 19.9207045269279
"aval" "11" "011_fs2" 1 -28.569766254411 -9.04867718942398
"aval" "11" "011_fs2" 2 -89.6843828661222 -59.9362449035947
"aval" "11" "011_fs2" 3 -71.5921221164857 -37.8252184906028
"aval" "11" "011_fs2" 4 30.8205009586513 32.0072413291927
"aval" "11" "011_fs2" 5 87.4565348399794 59.6585929757961
"aval" "11" "011_fs2" 6 87.4893593758791 60.5962976087961
"aval" "11" "011_fs2" 7 72.4732789583427 50.0200119271373
"aval" "11" "011_fs2" 8 42.5720442037984 23.1343080565176
"aval" "11" "011_fs2" 9 22.4443417578202 7.0254670366192
"aval" "11" "011_fs3" 1 48.2628936643612 26.181042166593
"aval" "11" "011_fs3" 2 -91.9301599820965 -59.3764632912595
"aval" "11" "011_fs3" 3 -83.2216467547891 -47.101620837518
"aval" "11" "011_fs3" 4 -25.977561907875 -4.93532852414305
"aval" "11" "011_fs3" 5 61.1713329097489 42.1954593306367
"aval" "11" "011_fs3" 6 72.7751415721559 49.7723786255536
"aval" "11" "011_fs3" 7 87.7257414338907 54.8821419841175
"aval" "11" "011_fs3" 8 80.9818872481765 49.6977092325891
"aval" "11" "011_fs3" 9 64.572379738443 39.3128670046092
"aval" "14" "014_fs1" 1 -9.18489275710712 7.13474257039601
"aval" "14" "014_fs1" 2 31.5917969104762 27.3684009595118
"aval" "14" "014_fs1" 3 97.0126633265141 84.4021299662624
"aval" "14" "014_fs1" 4 131.38319649878 89.8775268008853
"aval" "14" "014_fs1" 5 18.8733015686504 -7.56588290105594
"aval" "14" "014_fs1" 6 -61.6454690242349 -53.5112799499293
"aval" "14" "014_fs1" 7 -68.387039540415 -36.8664624079364
"aval" "14" "014_fs1" 8 -38.7781715639886 -16.7466520951109
"aval" "14" "014_fs2" 1 6.1813494874813 10.4861523835164
"aval" "14" "014_fs2" 2 -31.4953116084212 -26.469544675432
"aval" "14" "014_fs2" 3 -126.601083421176 -91.8057452994107
"aval" "14" "014_fs2" 4 -76.8901828287624 -50.8402711188824
"aval" "14" "014_fs2" 5 36.874345253327 29.7177334250337
"aval" "14" "014_fs2" 6 49.8201138008491 38.2588857336224
"aval" "14" "014_fs2" 7 83.1312291435303 50.5914143655242
"aval" "14" "014_fs2" 8 74.926803389911 47.9010320821106
"aval" "14" "014_fs3" 1 -33.8117288220272 -17.593391560983
"aval" "14" "014_fs3" 2 -68.4805001459451 -50.0784859237994
"aval" "14" "014_fs3" 3 -115.087595078704 -88.7765766080273
"aval" "14" "014_fs3" 4 -117.027314310862 -66.2323391261582
"aval" "14" "014_fs3" 5 14.625955795873 9.86983915009182
"aval" "14" "014_fs3" 6 34.2060046183524 24.4409558201168
"aval" "14" "014_fs3" 7 42.0473915073209 28.7867521588836
"aval" "14" "014_fs3" 8 43.1131858534056 26.6698947769501
"aval" "14" "014_fs3" 9 53.5103184558426 27.0914888231561
"aval" "14" "014_fs3" 10 44.8845859987354 18.3117483113727
"aval" "15" "015_fs1" 1 3.6416688261836 1.38120668892418
"aval" "15" "015_fs1" 2 -15.0903529686323 -8.75150949151643
"aval" "15" "015_fs1" 3 -79.8941569642629 -66.115813644353
"aval" "15" "015_fs1" 4 -141.125374699168 -109.81016486782
"aval" "15" "015_fs1" 5 -82.4148705313219 -44.2931396827343
"aval" "15" "015_fs1" 6 -5.08496191814621 25.1895387225628
"aval" "15" "015_fs1" 7 55.1258700014257 32.0117155927439
"aval" "15" "015_fs1" 8 -3.78431157416895 -13.7156144070949
"aval" "15" "015_fs1" 9 4.11949270559469 17.3772181471228
"aval" "15" "015_fs1" 10 55.0552421230486 37.7512063975406
"aval" "15" "015_fs1" 11 17.3052197676734 -6.4825467793724
"aval" "15" "015_fs2" 1 -12.0559661084379 -1.49118144719156
"aval" "15" "015_fs2" 2 -13.5620786823067 -3.5068861684889
"aval" "15" "015_fs2" 3 -33.1247776321097 -39.0290651282488
