"ID","weight","height","origin","traitement","bief","variance_amplitude_max_par_segments_steady","maximum_amplitude_max_par_segments_steady","temperature_auge_steady","frequence_battement_steady","duree_sequence_steady","saut_boite_auge_steady","variance_distance_fast_start","maximum_distance_fast_start","variance_acceleration_fast_start","maximum_acceleration_fast_start","variance_ratio_snout_tail_fast_start","maximum_ratio_snout_tail_fast_start","variance_ratio_ant_post_fast_start","maximum_ratio_ant_post_fast_start","mean_efficiency_fast_start","variance_efficiency_fast_start","maximum_efficiency_fast_start","t_aqua_ellerby","saut_boite","temps_saut_sec","Temperature_Ellerby","Distance_cumulated_behaviour","Latency_to_externe_zone_behaviour","Time_spent_in_external_zone_behaviour","Latency_to_transition_zone_behaviour","Time_spent_in_transition_zone_behaviour","Time_spent_in_centre_zone_behaviour","Acceleration_Variance_behaviour","Mobility_Variance_behaviour","Cumulated_difference_of_Curvature_angle_behaviour","Cumulated_difference_of_Head_center_angle_behaviour","Cumulated_difference_of_Center_tail_behaviour","Variance_of_difference_of_Curvature_angle_behaviour","Variance_of_difference_of_Head_center_angle_behaviour","Variance_of_difference_of_Center_tail_behaviour","origin_treatment_behaviour","variance_angle_cum_diff_segmentation_fast_start","maximum_angle_cum_diff_segmentation_fast_start"
"171","5.6040000000000001","83.218999999999994","Cauterets","aval","9-10",0.00604339424562497,0.287835796540206,17.371884765625,0.249,0.747,0,14.3420612553173,12.9727178499437,1.30946070671232e-05,0.00807589680343458,4170.93183190529,166.903520818185,1723.98840313978,21.0530357554631,0.637155070847537,0.024464131982698,0.737571208578295,18.5,NA,NA,18.5,2430.68,83.6213,61.7779,82.5723,8.27368,29.8985,1267.54,118.042,30527.3449674909,24591.3674707268,28019.5055701773,28.5230779660632,58.8038928243843,60.1486449269295,"Cauterets.Aval",10741.2286094159,420.867535982435
"172","1.4039999999999999","53.6","Cauterets","aval","9-10",NA,NA,NA,NA,NA,NA,11.7773313200655,12.017307442276,2.33304095115545e-05,0.0144125158289338,4648.59196020885,122.986888137032,2331.53789863017,90.69305968204,0.760268246708553,0.00794850084695322,0.841374743298151,18.5,NA,NA,18.5,140.723,1.44867,99.5172,0.399633,0.316297,0.0332947,12163.3,8.23963,8669.08591109883,8984.35717682151,5050.49960316572,1.99511075275043,1.85672531224073,1.67861140565255,"Cauterets.Aval",14028.5547037034,587.56064419577
"173","5.5979999999999999","84.504000000000005","Cauterets","aval","9-10",NA,NA,NA,NA,NA,NA,18.5353278429084,14.0736500908909,3.2308837117631e-05,0.0114040744104828,4633.88288025185,148.050078751533,2384.21109476783,109.349188921996,0.788956446017323,0.00463821688068998,0.854827120299683,18.5,NA,NA,18.5,397.58,191.59,34.8152,191.091,0.749251,64.4356,187.687,36.0221,17053.3499677512,12343.6705144214,8727.90437538437,8.23204623533486,5.26834671634901,5.25280938199753,"Cauterets.Aval",10368.9130181445,486.332625004409
"174","1.8720000000000001","60.633000000000003","Cauterets","aval","11-12",NA,NA,NA,NA,NA,NA,11.2348903578062,10.5464796063293,2.26881275783638e-05,0.00992582967501052,3018.41667161078,129.420475360246,1534.01028106357,89.6976568344027,0.8135710520115,0.00806805333577198,0.913081592060725,18.5,NA,NA,18.5,2658.05,0,90.9091,80.5387,5.89411,3.1968,970.804,77.9738,24535.8430614924,22926.3766893579,27864.0984846021,13.7205155422014,27.7958775317682,28.991404969108,"Cauterets.Aval",9237.1739951597,398.778097247423
"175","10.148999999999999","102.67","Lees Athas","aval","11-12",NA,NA,NA,NA,NA,NA,13.9774030225526,12.4554208906038,5.74316132439394e-05,0.0229942099811271,6710.71561642708,177.532014393512,3593.57541753769,125.351193089049,0.703867275883706,0.0014804107578806,0.74647847347843,18.5,1,275,18.5,1702.12,5.39602,91.7416,4.79647,5.07825,2.9637,5799.26,92.4642,22961.3944229356,21049.1848544002,18029.5951492088,20.522832599493,62.1651302022609,61.570091173808,"Lees Athas.Aval",9102.93930816016,379.142796046053
"176","8.6029999999999998","98.594999999999999","Lees Athas","aval","11-12",0.00725838841075872,0.267639576024912,18.058291015625,0.275,0.825,1,8.22851529390668,9.40510572652826,5.06185282126413e-05,0.0233667648978374,4482.25363185563,133.670753483405,2141.61415966496,99.024835041853,0.787428988940536,0.00497429862183347,0.8518669585138,18.5,1,595,18.5,3916.41,0.449701,92.6395,0,6.01166,1.34888,6093.77,160.555,42137.8738702445,40762.2161819631,47290.8696421131,56.9711956380093,178.905371727223,179.691413870116,"Lees Athas.Aval",6209.74610688104,365.969010194229
"177","2.3180000000000001","65.3","Cauterets","amont","3-4",NA,NA,NA,NA,NA,NA,3.78712174278337,6.84789283033909,8.2668493515897e-06,0.00771585237165638,4909.16897348126,95.1776165202504,2695.14225688926,74.5495596512951,0.689023598295158,0.0214738853146239,0.815072148010231,18.7,NA,NA,18.7,90.4787,NA,0,NA,0,99.8169,37.8539,0.531125,18530.7985972797,18049.7657457971,7763.77205099664,7.21942705251804,43.7074647564573,42.7368137030444,"Cauterets.Amont",6785.82528088363,349.97599661901
"178","2.09","60.326000000000001","Cauterets","amont","3-4",0.0116816218920297,0.436595123603998,17.200283203125,0.233,0.699,0,16.3266195308071,13.228287169753,1.85686870443401e-05,0.00812744576295126,4821.21496249659,137.048201438532,2489.3501215865,106.566317554141,0.721450419044884,0.00114287197767407,0.745355146377298,18.5,NA,NA,18.5,2668.63,0.199807,91.4267,15.0355,7.17496,1.33178,1599.25,81.2178,27980.9374595664,28295.0764579619,33599.2277074572,18.628021102065,43.6727367713185,39.8913289170301,"Cauterets.Amont",11344.9699477694,457.982568963825
"179","5.5259999999999998","84.659000000000006","Cauterets","amont","3-4",NA,NA,NA,NA,NA,NA,13.0477234950666,12.9846730075075,4.54573237740416e-05,0.0237617435600494,5043.2479467028,128.834043823381,2958.01651741037,102.244232819731,0.762267109905895,0.00303013694685245,0.825207985862528,18.3,1,415,18.3,2324.83,0,93.7906,41.1118,3.84551,2.36391,1011.19,71.2811,24871.7307043834,19970.2054993438,22560.3212863028,16.8522149043545,19.2074721336886,14.1446367861119,"Cauterets.Amont",8629.11157816298,470.93921291811
"180","3.3050000000000002","70.08","Cauterets","amont","3-4",NA,NA,NA,NA,NA,NA,7.24214411876598,8.17518681431198,1.5161890204135e-05,0.00994878715933024,6116.48154334413,97.0718513978133,3192.33333222974,70.3555232112033,0.769530711284604,0.00278446327435857,0.806843331631871,18.3,NA,NA,18.3,122.743,0.249762,0.0166471,NA,0,99.9001,10011.5,1.92242,16744.589046595,12509.6205053524,7788.52377622126,14.2201237152646,4.79677924382273,4.40389869065703,"Cauterets.Amont",8540.23253979975,374.327603866955
"182","20.786999999999999","125.93","Lees Athas","amont","11-12",0.0217487217181597,0.552822522175798,17.200283203125,0.432,1.295,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,1,270,18.3,501.67,129.475,51.6897,129.175,2.36391,43.8322,2611.29,36.4023,19840.0466748776,15230.318085367,14895.8118978843,81.5330073826986,54.6177628229923,57.4804850458865,"Lees Athas.Amont",NA,NA
"183","7.4909999999999997","95.055999999999997","Lees Athas","amont","3-4",NA,NA,NA,NA,NA,NA,19.3905285775903,14.9252119046277,2.59112273906898e-05,0.0112469053572126,4704.87283593094,139.623489097266,2586.14658313596,101.704012067347,0.774808163758386,0.000415755847791667,0.789226136011648,18.4,1,210,18.4,1510.79,0,88.5966,135.722,7.70767,3.69569,42972.8,124.957,36903.8908537567,26228.0693317783,27018.6733566991,65.4508389890291,78.7066715482991,66.9857685862839,"Lees Athas.Amont",9392.22648212681,379.81853966048
"184","10.442","107.56100000000001","Lees Athas","amont","3-4",0.00481398807326162,0.192554174009999,17.41478515625,0.21,0.63,1,16.3947833604214,13.2557953654579,1.96048895487335e-05,0.01028452424598,4038.57401812852,140.310329620618,2170.24628620189,99.3311792302928,0.851329456725509,0.00221293292941475,0.884593047402214,18.4,1,172,18.4,1140.85,114.796,55.3021,113.997,4.31164,40.2031,7620.18,90.4652,24287.7710507534,24916.1549803804,18248.314449164,60.7110749712853,186.21564906553,89.3020895503526,"Lees Athas.Amont",9069.4709650845,376.200561969557
"185","4.0250000000000004","77.528999999999996","Cauterets","amont","3-4",0.0159740497015507,0.412873758510838,17.41478515625,0.209,0.626,0,7.52023021372507,10.1230408151467,1.33776653682362e-05,0.00778953080830411,3884.55281549966,120.634490934487,1903.73805168579,89.772207275477,0.810728516068203,0.00316374433734594,0.859393522264737,18.6,NA,NA,18.6,1691.04,0,91.3268,0.049957,5.95971,2.7135,1316.59,197.621,31001.2177119176,21972.6297058087,26495.8781807998,31.6707412292892,38.8682302059637,37.0365850132767,"Cauterets.Amont",7245.59977626518,415.107970248375
"186","6.2510000000000003","88.361000000000004","Lees Athas","amont","3-4",NA,NA,NA,NA,NA,NA,8.6277082541281,9.40901761654016,1.0250003835533e-05,0.00743484878824166,3853.96234664709,64.7085381872223,1881.74608421895,46.3098693710492,0.825734116883786,0.000540498709491693,0.842173379481173,18.5,1,82,18.5,315.255,0,100,NA,0,0,3173.4,32.6639,20584.9979093128,20935.746891332,13645.2710669114,22.1465818689034,117.529359169455,97.0787270429025,"Lees Athas.Amont",6183.96795150574,310.165254331771
"181","2.262","69.277000000000001","Cauterets","aval","3-4",NA,NA,NA,NA,NA,NA,3.59626581206409,5.42738047380507,1.51833535564245e-05,0.00665504692546887,1928.34706534118,-14.9033715911087,1199.5185548962,-0.434353336632853,0.724027973155851,NA,0.724027973155851,18.3,NA,NA,18.3,1823.94,47.2538,79.5905,46.9042,3.04644,17.3631,1818.04,161.463,25139.6405638291,23320.2410340561,26600.4846181708,29.4312307313481,128.722115703623,134.35452501235,"Cauterets.Aval",6729.63648175295,389.408327191063
