"poisson" "fs" "frame" "dist"
20 "020_fs3" 7 147.679556723699
20 "020_fs3" 8 138.049832957466
20 "020_fs3" 9 139.765057746733
20 "020_fs3" 10 146.202119240719
21 "021_fs1" 1 107.803002698032
21 "021_fs1" 2 107.935013339543
21 "021_fs1" 3 85.4191051126987
21 "021_fs1" 4 100.250378008248
21 "021_fs1" 5 103.808035779986
21 "021_fs1" 6 100.451215512249
21 "021_fs1" 7 104.332664438634
21 "021_fs1" 8 100.88817804471
21 "021_fs1" 9 102.994547307263
21 "021_fs1" 10 105.298597129517
21 "021_fs1" 11 102.908844770065
21 "021_fs1" 12 105.105157021864
21 "021_fs1" 13 97.0898878714414
21 "021_fs2" 1 103.926399453925
21 "021_fs2" 2 104.164837561604
21 "021_fs2" 3 95.0023218489416
21 "021_fs2" 4 98.2203165875138
21 "021_fs2" 5 105.093937357207
21 "021_fs2" 6 103.279713593793
21 "021_fs2" 7 108.351781639241
21 "021_fs2" 8 109.478739763593
21 "021_fs2" 9 111.514875161023
21 "021_fs2" 10 106.892300810553
21 "021_fs3" 1 105.77894504273
21 "021_fs3" 2 97.0682943849492
21 "021_fs3" 3 104.438878823266
21 "021_fs3" 4 103.723394519375
21 "021_fs3" 5 107.598853829372
21 "021_fs3" 6 108.560939857664
21 "021_fs3" 7 103.593408957225
21 "021_fs3" 8 109.566892864089
21 "021_fs3" 9 106.098293926446
21 "021_fs3" 10 106.400318162391
21 "021_fs3" 11 115.030558788965
22 "022_fs1" 1 191.764049588082
22 "022_fs1" 2 183.405242348376
22 "022_fs1" 3 180.523531052638
22 "022_fs1" 4 192.083125660873
22 "022_fs1" 5 185.55767653419
22 "022_fs1" 6 191.125460999379
22 "022_fs1" 7 189.241481812596
22 "022_fs1" 8 181.675592911975
22 "022_fs1" 9 187.631025877012
22 "022_fs1" 10 181.451310779686
22 "022_fs1" 11 182.634623732198
22 "022_fs1" 12 184.046679240704
22 "022_fs2" 1 184.713523693159
22 "022_fs2" 2 180.207421650169
22 "022_fs2" 3 174.297051343363
22 "022_fs2" 4 177.300901065045
22 "022_fs2" 5 193.020181765193
22 "022_fs2" 6 182.560236340645
22 "022_fs2" 7 165.606945133437
22 "022_fs2" 8 178.076105128707
22 "022_fs2" 9 186.169970432437
22 "022_fs2" 10 181.028472571289
22 "022_fs2" 11 185.070160195032
22 "022_fs3" 1 192.61987569716
22 "022_fs3" 2 184.469514768823
22 "022_fs3" 3 187.028795309726
22 "022_fs3" 4 188.513305517819
22 "022_fs3" 5 189.924802113931
22 "022_fs3" 6 198.870855928171
22 "022_fs3" 7 185.607041986621
22 "022_fs3" 8 187.243907068556
22 "022_fs3" 9 185.281882542534
22 "022_fs3" 10 182.844445021359
22 "022_fs3" 11 192.02421243501
22 "022_fs3" 12 197.017292838625
22 "022_fs3" 13 188.749187657174
22 "022_fs4" 1 191.086541102765
22 "022_fs4" 2 188.446865172633
22 "022_fs4" 3 181.547116360178
22 "022_fs4" 4 193.449541358798
22 "022_fs4" 5 186.586239783113
22 "022_fs4" 6 188.933234253627
22 "022_fs4" 7 188.471414317245
22 "022_fs4" 8 186.968092465456
22 "022_fs4" 9 184.933639052053
22 "022_fs4" 10 193.353809375904
22 "022_fs4" 11 188.773664632109
22 "022_fs4" 12 183.445141408737
22 "022_fs4" 13 190.260412385134
23 "023_fs1" 1 140.892183011134
23 "023_fs1" 2 127.966627350315
23 "023_fs1" 3 140.146694353552
23 "023_fs1" 4 153.00209454755
23 "023_fs1" 5 151.257310900679
23 "023_fs1" 6 165.603481148797
23 "023_fs1" 7 162.658114624318
23 "023_fs1" 8 160.21424215813
23 "023_fs1" 9 162.50779277557
23 "023_fs1" 10 163.514562480853
23 "023_fs1" 11 156.424135433571
23 "023_fs1" 12 158.867309551215
23 "023_fs1" 13 163.229115112487
23 "023_fs2" 1 157.444919589614
23 "023_fs2" 2 153.779913738125
23 "023_fs2" 3 136.221439251913
23 "023_fs2" 4 154.553187950261
23 "023_fs2" 5 157.692982540436
23 "023_fs2" 6 157.151363297733
23 "023_fs2" 7 165.616909745965
23 "023_fs2" 8 155.1079183575
23 "023_fs2" 9 161.060401639482
23 "023_fs2" 10 162.755551233616
23 "023_fs2" 11 161.36645784514
23 "023_fs2" 12 164.014949209949
23 "023_fs2" 13 159.63092367163
23 "023_fs3" 1 155.322349415364
23 "023_fs3" 2 151.449200131574
23 "023_fs3" 3 146.742096001809
23 "023_fs3" 4 150.045551374646
23 "023_fs3" 5 159.531696252408
23 "023_fs3" 6 167.883402061917
23 "023_fs3" 7 153.299303919363
23 "023_fs3" 8 157.442399613768
23 "023_fs3" 9 152.543714058239
23 "023_fs3" 10 158.908243725539
23 "023_fs3" 11 158.678558007154
23 "023_fs3" 12 156.277323467427
23 "023_fs4" 1 153.31527131718
23 "023_fs4" 2 138.887821726148
23 "023_fs4" 3 146.60172883952
23 "023_fs4" 4 155.287634079648
23 "023_fs4" 5 159.244118998892
23 "023_fs4" 6 164.778335900916
23 "023_fs4" 7 160.186497974996
23 "023_fs4" 8 160.32775152715
23 "023_fs4" 9 161.893119569058
23 "023_fs4" 10 161.636169036532
23 "023_fs4" 11 159.694330789684
23 "023_fs4" 12 162.030728049433
23 "023_fs4" 13 158.654698079651
24 "024_fs1" 1 102.226550283807
24 "024_fs1" 2 96.9863257636677
24 "024_fs1" 3 89.0994524444042
24 "024_fs1" 4 104.43634924022
24 "024_fs1" 5 98.0437767374017
24 "024_fs1" 6 95.4172228215028
24 "024_fs1" 7 97.1089452199049
24 "024_fs1" 8 100.092417922761
24 "024_fs1" 9 99.5024739960942
24 "024_fs1" 10 97.5567607251343
24 "024_fs1" 11 100.643584795573
24 "024_fs1" 12 102.552184193614
24 "024_fs1" 13 99.0717220371416
24 "024_fs2" 1 96.193852392969
24 "024_fs2" 2 92.6689515358753
24 "024_fs2" 3 92.0641092918322
24 "024_fs2" 4 90.6333308439037
24 "024_fs2" 5 89.84656825952
24 "024_fs2" 6 84.9020138441372
24 "024_fs2" 7 88.5607726976827
24 "024_fs2" 8 88.0271267393931
24 "024_fs2" 9 91.5039807296017
24 "024_fs2" 10 85.4228361981823
24 "024_fs2" 11 95.5824136235384
25 "025_fs1" 1 148.052412276282
25 "025_fs1" 2 140.631914615904
25 "025_fs1" 3 141.774701144902
25 "025_fs1" 4 151.887192747867
25 "025_fs1" 5 135.988185243969
25 "025_fs1" 6 147.472412291392
25 "025_fs1" 7 150.175029124388
25 "025_fs1" 8 160.186565212583
25 "025_fs1" 9 157.314891845782
25 "025_fs1" 10 156.603761130387
25 "025_fs1" 11 156.429033487036
25 "025_fs1" 12 153.112797791811
25 "025_fs2" 1 145.849139041357
25 "025_fs2" 2 133.154456802021
25 "025_fs2" 3 132.984105043526
25 "025_fs2" 4 143.691697551665
25 "025_fs2" 5 129.013259744157
25 "025_fs2" 6 135.231286135745
25 "025_fs2" 7 140.099836705063
25 "025_fs2" 8 134.832827533508
25 "025_fs2" 9 136.622819432313
25 "025_fs2" 10 136.374539550897
25 "025_fs2" 11 137.11330589992
25 "025_fs2" 12 144.572805730836
25 "025_fs2" 13 142.196349659662
25 "025_fs3" 1 144.268726793069
25 "025_fs3" 2 138.057134765655
25 "025_fs3" 3 137.541478070364
25 "025_fs3" 4 143.126536708193
25 "025_fs3" 5 152.290291100113
25 "025_fs3" 6 144.710848097352
25 "025_fs3" 7 122.704619774516
25 "025_fs3" 8 138.535557102104
25 "025_fs3" 9 151.322375937078
25 "025_fs3" 10 150.37258930016
25 "025_fs3" 11 146.694516655702
25 "025_fs3" 12 143.490489831161
25 "025_fs3" 13 141.712936320322
26 "026_fs1" 1 134.316662026589
26 "026_fs1" 2 127.347992445785
26 "026_fs1" 3 123.812206969651
26 "026_fs1" 4 135.185590401517
26 "026_fs1" 5 136.254971097473
26 "026_fs1" 6 147.367491310614
26 "026_fs1" 7 141.426769681305
26 "026_fs1" 8 142.615875449606
26 "026_fs1" 9 142.564358749055
26 "026_fs1" 10 142.129955267173
26 "026_fs2" 1 143.825215595535
26 "026_fs2" 2 122.674294864712
26 "026_fs2" 3 137.717856667134
26 "026_fs2" 4 144.388943200466
26 "026_fs2" 5 133.286325796694
26 "026_fs2" 6 135.419265188245
26 "026_fs2" 7 133.571923351501
26 "026_fs2" 8 137.417673398056
26 "026_fs2" 9 136.312871282563
26 "026_fs2" 10 135.090007426691
27 "027_fs1" 1 188.230552846672
27 "027_fs1" 2 181.508298109167
27 "027_fs1" 3 176.990655460392
27 "027_fs1" 4 178.675017537291
27 "027_fs1" 5 185.630971306779
27 "027_fs1" 6 180.074314399628
27 "027_fs1" 7 182.175267059772
27 "027_fs1" 8 182.327281362741
27 "027_fs1" 9 172.688774136636
27 "027_fs1" 10 176.277326373494
27 "027_fs1" 11 177.810798683703
27 "027_fs1" 12 179.053585651597
27 "027_fs2" 1 187.577127076071
27 "027_fs2" 2 184.452398766128
27 "027_fs2" 3 174.631994683461
27 "027_fs2" 4 183.936499154456
27 "027_fs2" 5 183.155007238952
27 "027_fs2" 6 184.510503766855
27 "027_fs2" 7 178.773721129978
27 "027_fs2" 8 177.92729746271
27 "027_fs2" 9 172.947719252263
27 "027_fs2" 10 179.338916265977
27 "027_fs2" 11 181.433635005369
27 "027_fs3" 1 186.252932496507
27 "027_fs3" 2 183.525750947279
27 "027_fs3" 3 179.671818034917
27 "027_fs3" 4 181.009063722519
27 "027_fs3" 5 184.420594078404
27 "027_fs3" 6 176.933943682541
27 "027_fs3" 7 178.010521369331
27 "027_fs3" 8 190.109462276992
29 "029_fs1" 1 103.287890794271
29 "029_fs1" 2 88.1005128572672
29 "029_fs1" 3 108.909482108244
29 "029_fs1" 4 111.616067516647
29 "029_fs1" 5 104.51357457313
29 "029_fs1" 6 106.561856861427
29 "029_fs1" 7 100.874758816139
29 "029_fs1" 8 102.052870798728
29 "029_fs1" 9 100.580712913452
29 "029_fs2" 1 102.263651518654
29 "029_fs2" 2 88.9111208057499
29 "029_fs2" 3 106.04836487248
29 "029_fs2" 4 104.73617689571
29 "029_fs2" 5 106.359568857677
29 "029_fs2" 6 110.277068885501
29 "029_fs2" 7 110.812032695522
29 "029_fs2" 8 106.097729404534
29 "029_fs2" 9 103.096587975195
37 "037_fs1" 1 153.788968097366
37 "037_fs1" 2 152.371740198582
37 "037_fs1" 3 157.99803642737
37 "037_fs1" 4 156.897349668811
37 "037_fs1" 5 162.862098255085
37 "037_fs1" 6 152.127313449551
37 "037_fs1" 7 149.175053688738
37 "037_fs1" 8 146.396170754249
37 "037_fs1" 9 145.46167948778
37 "037_fs1" 10 145.10902176941
37 "037_fs1" 11 147.805337768558
37 "037_fs1" 12 150.545342108023
37 "037_fs1" 13 146.581668955773
37 "037_fs1" 14 153.872587742921
37 "037_fs1" 15 154.741563267668
37 "037_fs1" 16 152.213785230195
37 "037_fs1" 17 150.580015900324
37 "037_fs1" 18 147.66966856306
37 "037_fs1" 19 149.485137540671
37 "037_fs1" 20 150.712164064119
37 "037_fs1" 21 147.637549131482
37 "037_fs1" 22 147.335396470654
37 "037_fs2" 1 149.412035250771
37 "037_fs2" 2 147.669865074271
37 "037_fs2" 3 135.002799408561
37 "037_fs2" 4 151.939468139892
37 "037_fs2" 5 151.487116064758
37 "037_fs2" 6 153.327643239667
37 "037_fs2" 7 151.200385997487
37 "037_fs2" 8 150.766611438107
37 "037_fs2" 9 155.891942782123
37 "037_fs2" 10 156.135802956132
37 "037_fs2" 11 154.382599282587
37 "037_fs2" 12 150.526731590485
37 "037_fs3" 1 151.443492783556
37 "037_fs3" 2 148.100741990708
37 "037_fs3" 3 146.327059203104
37 "037_fs3" 4 152.416605990263
37 "037_fs3" 5 153.24789532721
37 "037_fs3" 6 145.991960038937
37 "037_fs3" 7 147.769012219026
37 "037_fs3" 8 150.820194869753
37 "037_fs3" 9 144.419908379142
37 "037_fs3" 10 150.611479675217
37 "037_fs3" 11 153.749755087333
37 "037_fs3" 12 155.465506429274
37 "037_fs3" 13 153.269946410256
37 "037_fs3" 14 153.764664870948
37 "037_fs3" 15 152.826821058999
37 "037_fs3" 16 151.590025698242
37 "037_fs3" 17 152.406346353928
38 "038_fs1" 1 165.631651461618
38 "038_fs1" 2 164.912978354649
38 "038_fs1" 3 180.924828725187
38 "038_fs1" 4 167.236985338285
38 "038_fs1" 5 155.519273638198
38 "038_fs1" 6 158.068910402834
38 "038_fs1" 7 151.563333204368
38 "038_fs1" 8 159.799087955909
38 "038_fs1" 9 163.208134320224
38 "038_fs1" 10 167.508185661218
38 "038_fs1" 11 169.136684968679
38 "038_fs1" 12 172.712716767931
38 "038_fs1" 13 169.139349101546
38 "038_fs1" 14 170.419516665452
38 "038_fs1" 15 162.593959485803
38 "038_fs1" 16 161.36176582462
38 "038_fs1" 17 161.689366289438
38 "038_fs2" 1 164.758732467889
38 "038_fs2" 2 161.440879523238
38 "038_fs2" 3 154.648335945742
38 "038_fs2" 4 164.666189109466
38 "038_fs2" 5 167.972211048281
