"poisson" "fs" "frame" "pts" "X" "Y" "angle" "seg" "angle_diff" "angle_cum_diff" "traitement"
2 "002_fs1" 5 28 115.446294771514 0.855590979061986 149.557395077809 "segment_02_pts_28-53" 0.328837072094842 51.4273197841083 "amont"
2 "002_fs1" 6 28 123.308046239659 -5.81926416713705 148.113455322005 "segment_02_pts_28-53" -1.44393975580383 52.8712595399121 "amont"
2 "002_fs1" 7 28 134.925673989597 -16.1969195282286 145.759132131412 "segment_02_pts_28-53" -2.35432319059368 55.2255827305058 "amont"
2 "002_fs1" 8 28 141.195805769626 -22.0853545577879 146.728881188108 "segment_02_pts_28-53" 0.969749056696628 56.1953317872024 "amont"
2 "002_fs1" 9 28 149.548744303466 -25.8183950117656 149.00428831846 "segment_02_pts_28-53" 2.27540713035219 58.4707389175546 "amont"
2 "002_fs1" 10 28 157.022582303393 -30.875289168078 151.582551152647 "segment_02_pts_28-53" 2.57826283418646 61.0490017517411 "amont"
2 "002_fs1" 11 28 165.208672505622 -36.1172170125865 150.447456761697 "segment_02_pts_28-53" -1.13509439094972 62.1840961426908 "amont"
2 "002_fs1" 1 54 65.6911596725007 20.974662494469 -125.595976206242 "segment_03_pts_54-76" NA 0 "amont"
2 "002_fs1" 2 54 61.5910438395478 20.3482225526408 -125.410883339957 "segment_03_pts_54-76" -0.185092866284677 0.185092866284677 "amont"
2 "002_fs1" 3 54 74.480499727707 28.4062862217358 -159.500504951051 "segment_03_pts_54-76" 34.0896216110935 34.2747144773782 "amont"
2 "002_fs1" 4 54 86.0203629060989 21.9657872018977 166.845621796405 "segment_03_pts_54-76" 7.34511684535494 41.6198313227332 "amont"
2 "002_fs1" 5 54 93.9218347801095 13.5053103117279 150.67935885823 "segment_03_pts_54-76" -16.1662629381754 57.7860942609085 "amont"
2 "002_fs1" 6 54 101.371165306168 7.82943625706596 147.680333457354 "segment_03_pts_54-76" -2.99902540087604 60.7851196617846 "amont"
2 "002_fs1" 7 54 115.287295839746 -2.78965209781691 143.548616325597 "segment_03_pts_54-76" -4.1317171317566 64.9168367935412 "amont"
2 "002_fs1" 8 54 122.730270783984 -9.90799148434192 141.190198145064 "segment_03_pts_54-76" -2.35841818053305 67.2752549740742 "amont"
2 "002_fs1" 9 54 129.300143912308 -13.6123785344534 144.243584204288 "segment_03_pts_54-76" 3.05338605922319 70.3286410332974 "amont"
2 "002_fs1" 10 54 135.328442541985 -19.0925029216385 146.481301978677 "segment_03_pts_54-76" 2.23771777438944 72.5663588076869 "amont"
2 "002_fs1" 11 54 144.070664962222 -24.1007251100365 147.050597578968 "segment_03_pts_54-76" 0.569295600290559 73.1356544079774 "amont"
2 "002_fs1" 1 77 53.0426960927024 3.09569375185521 -113.405367590044 "segment_04_pts_77-98" NA 0 "amont"
2 "002_fs1" 2 77 49.7769886821523 3.48722470035844 -110.957653389192 "segment_04_pts_77-98" -2.44771420085203 2.44771420085203 "amont"
2 "002_fs1" 3 77 53.8874145702096 20.4312972236039 -129.080331257388 "segment_04_pts_77-98" 18.1226778681963 20.5703920690483 "amont"
2 "002_fs1" 4 77 66.3531003888749 26.3298421287314 -166.063062276552 "segment_04_pts_77-98" 36.9827310191635 57.5531230882118 "amont"
2 "002_fs1" 5 77 73.6896117476237 24.7892433070867 166.053509171554 "segment_04_pts_77-98" -0.00955310499759321 57.5626761932094 "amont"
2 "002_fs1" 6 77 81.3466552869737 20.4906214987139 153.132315613726 "segment_04_pts_77-98" -12.9211935578283 70.4838697510377 "amont"
2 "002_fs1" 7 77 98.3114478465852 9.75183416335759 144.298325801656 "segment_04_pts_77-98" -8.83398981206963 79.3178595631073 "amont"
2 "002_fs1" 8 77 107.562543022588 2.31678651825982 139.235403544348 "segment_04_pts_77-98" -5.06292225730814 84.3807818204154 "amont"
2 "002_fs1" 9 77 112.154475898297 -1.21021516253924 137.948520864902 "segment_04_pts_77-98" -1.28688267944602 85.6676644998615 "amont"
2 "002_fs1" 10 77 116.97541516038 -6.8691573050034 138.849730830646 "segment_04_pts_77-98" 0.901209965744272 86.5688744656057 "amont"
2 "002_fs1" 11 77 125.927867994465 -12.3041857016943 142.928248821334 "segment_04_pts_77-98" 4.07851799068746 90.6473924562932 "amont"
