"treatment" "poisson" "fs" "frame" "ratio"
"aval" "15" "015_fs2" "1" -1.49118144719156
"aval" "15" "015_fs2" "2" -3.5068861684889
"aval" "15" "015_fs2" "3" -39.0290651282488
"aval" "15" "015_fs2" "4" -65.7001692394076
"aval" "15" "015_fs2" "5" -5.41110556994988
"aval" "15" "015_fs2" "6" 40.2904465468205
"aval" "15" "015_fs2" "7" 38.5646824900829
"aval" "15" "015_fs2" "8" 16.4729664150645
"aval" "15" "015_fs2" "9" 17.9046582181779
"aval" "15" "015_fs2" "10" 61.6366598500336
"aval" "15" "015_fs2" "11" 79.0059931986866
"aval" "15" "015_fs2" "12" 10.8738352709003
"aval" "16" "016_fs1" "1" -21.8348630848332
"aval" "16" "016_fs1" "2" -13.2020572335763
"aval" "16" "016_fs1" "3" 36.4804298525393
"aval" "16" "016_fs1" "4" 68.6629011822982
"aval" "16" "016_fs1" "5" 46.7030312675274
"aval" "16" "016_fs1" "6" 1.71526738057983
"aval" "16" "016_fs1" "7" -21.7092200366233
"aval" "16" "016_fs1" "8" -49.4464229130785
"aval" "16" "016_fs1" "9" -55.3577640788372
"aval" "16" "016_fs1" "10" -53.3577369636466
"aval" "16" "016_fs1" "11" -52.4835741112173
"aval" "16" "016_fs1" "12" -47.9177657886255
"aval" "16" "016_fs2" "1" -29.0513363544789
"aval" "16" "016_fs2" "2" -27.2942885461967
"aval" "16" "016_fs2" "3" -1.09905016494042
"aval" "16" "016_fs2" "4" 52.22496801894
"aval" "16" "016_fs2" "5" 79.4255903056313
"aval" "16" "016_fs2" "6" 46.6591341554414
"aval" "16" "016_fs2" "7" -17.6995334460746
"aval" "16" "016_fs2" "8" -40.422838738124
"aval" "16" "016_fs2" "9" -63.6631532879437
"aval" "16" "016_fs2" "10" -79.6122632029837
"aval" "16" "016_fs2" "11" -79.648865329619
"aval" "16" "016_fs2" "12" -81.4292379762826
"aval" "16" "016_fs3" "1" -18.8650541786223
"aval" "16" "016_fs3" "2" -24.7437366848991
"aval" "16" "016_fs3" "3" -37.8152071777793
"aval" "16" "016_fs3" "4" -58.8417964690367
"aval" "16" "016_fs3" "5" -74.0475396928327
"aval" "16" "016_fs3" "6" -76.875463917475
"aval" "16" "016_fs3" "7" -70.1889444023306
"aval" "16" "016_fs3" "8" -60.8174493541159
"aval" "16" "016_fs3" "9" -51.3927163367292
"aval" "16" "016_fs3" "10" -33.4265894280956
"aval" "16" "016_fs3" "11" -25.6357636366054
"aval" "16" "016_fs3" "12" -18.887521028874
"aval" "16" "016_fs3" "13" -9.87891863013573
"aval" "16" "016_fs3" "14" -4.14487766135895
"aval" "16" "016_fs3" "15" 1.82038081428246
"aval" "16" "016_fs3" "16" 3.16414630464664
"aval" "16" "016_fs3" "17" 6.75908294945134
"amont" "17" "017_fs1" "1" 18.3807689652622
"amont" "17" "017_fs1" "2" 32.0530439601487
"amont" "17" "017_fs1" "3" 64.9241661434417
"amont" "17" "017_fs1" "4" 104.0276333328
"amont" "17" "017_fs1" "5" 117.714861841104
"amont" "17" "017_fs1" "6" 115.737367899031
"amont" "17" "017_fs1" "7" 101.916557633303
"amont" "17" "017_fs1" "8" 64.497304851241
"amont" "17" "017_fs1" "9" 46.3786806272201
"amont" "17" "017_fs1" "10" 31.5461227166842
"amont" "17" "017_fs1" "11" 21.9043695843451
"amont" "17" "017_fs1" "12" 15.1596279931196
"amont" "17" "017_fs1" "13" 13.9790478622938
"amont" "17" "017_fs1" "14" 11.5556391342357
"amont" "17" "017_fs1" "15" 11.2238280155585
"amont" "17" "017_fs2" "1" 5.12106790096536
"amont" "17" "017_fs2" "2" 13.0535498297323
"amont" "17" "017_fs2" "3" 64.1356963834265
"amont" "17" "017_fs2" "4" 117.436799863736
"amont" "17" "017_fs2" "5" 117.362223518402
"amont" "17" "017_fs2" "6" 75.500445920704
"amont" "17" "017_fs2" "7" 11.4473704613867
"amont" "17" "017_fs2" "8" -11.7357987854012
"amont" "17" "017_fs2" "9" -19.6386335456548
"amont" "17" "017_fs2" "10" -9.66913138000439
"amont" "17" "017_fs2" "11" 6.60496041260353
"amont" "18" "018_fs1" "1" 42.1927528512033
"amont" "18" "018_fs1" "2" 15.0654614904369
"amont" "18" "018_fs1" "3" -57.5875068934797
"amont" "18" "018_fs1" "4" -111.646151715507
"amont" "18" "018_fs1" "5" -94.9889798478881
"amont" "18" "018_fs1" "6" -25.1667907314533
"amont" "18" "018_fs1" "7" 25.2147071240183
"amont" "18" "018_fs1" "8" 15.6397116045433
"amont" "18" "018_fs1" "9" -2.04401243022778
"amont" "18" "018_fs1" "10" -14.2557093628786
"amont" "18" "018_fs1" "11" -21.3821512016287
"amont" "18" "018_fs2" "1" -4.61488063984945
"amont" "18" "018_fs2" "2" -8.92563113181728
"amont" "18" "018_fs2" "3" -50.4926249238575
"amont" "18" "018_fs2" "4" -107.949595943307
"amont" "18" "018_fs2" "5" -120.487123558093
"amont" "18" "018_fs2" "6" -60.8335940711824
"amont" "18" "018_fs2" "7" 15.7739055396268
"amont" "18" "018_fs2" "8" 29.9529887772248
"amont" "18" "018_fs2" "9" 43.3201230315827
"amont" "18" "018_fs2" "10" 61.0213733339387
"amont" "18" "018_fs2" "11" 72.9130952147772
"amont" "18" "018_fs2" "12" 83.1534985701471
"amont" "18" "018_fs2" "13" 86.1203555818665
"amont" "18" "018_fs2" "14" 82.0691452242513
"amont" "18" "018_fs3" "1" 8.15846820157327
"amont" "18" "018_fs3" "2" 32.8996878498089
"amont" "18" "018_fs3" "3" 83.6053560107211
"amont" "18" "018_fs3" "4" 110.281661367833
"amont" "18" "018_fs3" "5" 80.2920109384968
"amont" "18" "018_fs3" "6" 57.9454230893674
"amont" "18" "018_fs3" "7" 18.195454029078
"amont" "18" "018_fs3" "8" 7.74987380367443
"amont" "18" "018_fs3" "9" 9.79830564284907
"amont" "18" "018_fs3" "10" 14.9659091439609
"amont" "18" "018_fs3" "11" 19.4420186948442
"amont" "18" "018_fs3" "12" 22.0415558798181
"amont" "18" "018_fs3" "13" 23.1289363337119
"amont" "19" "019_fs1" "1" 8.41229446322151
"amont" "19" "019_fs1" "2" -5.77100405130278
"amont" "19" "019_fs1" "3" -46.8207284806527
"amont" "19" "019_fs1" "4" -84.1384205994964
"amont" "19" "019_fs1" "5" -97.4089834655975
"amont" "19" "019_fs1" "6" -101.455572022179
"amont" "19" "019_fs1" "7" -81.2246066687376
"amont" "19" "019_fs1" "8" -65.9510688491146
"amont" "19" "019_fs1" "9" -48.4359933570184
"amont" "19" "019_fs1" "10" -41.9403263216376
"amont" "19" "019_fs1" "11" -32.8913395664793
"amont" "19" "019_fs1" "12" -24.8888872518178
"amont" "19" "019_fs1" "13" -20.7854334254203
"amont" "19" "019_fs1" "14" -19.4306646139115
"amont" "19" "019_fs2" "1" 19.3022024911815
"amont" "19" "019_fs2" "2" 23.7303230580859
"amont" "19" "019_fs2" "3" 48.5523712389498
"amont" "19" "019_fs2" "4" 97.7435605967178
"amont" "19" "019_fs2" "5" 107.713645980868
"amont" "19" "019_fs2" "6" 74.6200940365842
"amont" "19" "019_fs2" "7" 18.9085507591772
"amont" "19" "019_fs2" "8" -17.1120783490923
"amont" "19" "019_fs2" "9" -30.650900811862
"amont" "19" "019_fs2" "10" -27.3007050301091
"amont" "19" "019_fs2" "11" -24.5915809543025
"amont" "19" "019_fs2" "12" -27.3064759896431
"amont" "19" "019_fs3" "1" 5.87065545484703
"amont" "19" "019_fs3" "2" 40.5014608412329
"amont" "19" "019_fs3" "3" 85.7381585202781
"amont" "19" "019_fs3" "4" 113.473155917772
"amont" "19" "019_fs3" "5" 79.4369847638072
"amont" "19" "019_fs3" "6" 26.008453613096
"amont" "19" "019_fs3" "7" -9.28759074066519
"amont" "19" "019_fs3" "8" -20.4864775056728
"amont" "19" "019_fs3" "9" -14.6080107235646
"amont" "19" "019_fs3" "10" -8.56937576126927
"amont" "19" "019_fs3" "11" -0.866170646224475
"amont" "20" "020_fs1" "1" 10.5501779361763
"amont" "20" "020_fs1" "2" 21.7008824470753
"amont" "20" "020_fs1" "3" 62.8502445885322
"amont" "20" "020_fs1" "4" 111.877902526582
"amont" "20" "020_fs1" "5" 99.4538262398695
"amont" "20" "020_fs1" "6" 48.200965718603
"amont" "20" "020_fs1" "7" 24.1585440151964
"amont" "20" "020_fs1" "8" -20.5582030155626
"amont" "20" "020_fs1" "9" -7.90880376962508
"amont" "20" "020_fs1" "10" -4.81098362714147
"amont" "20" "020_fs2" "1" -55.1542478566859
"amont" "20" "020_fs2" "2" -28.9273419616735
"amont" "20" "020_fs2" "3" 30.1225904148852
"amont" "20" "020_fs2" "4" 51.6193635048539
