"traitement" "poisson" "fs" "time" "d_travelled_cm" "dt" "speed" "accel"
"aval" 173 "173_fs2" 83 1.29859047257028 8.3 0.156456683442203 -0.00287622222733827
"aval" 173 "173_fs2" 91.3 2.08421715870845 8.30000000000001 0.25111050104921 0.0114040744104828
"aval" 173 "173_fs2" 99.6 1.41625502677278 8.29999999999998 0.170633135755757 -0.00969606810764496
"aval" 173 "173_fs3" 8.3 0 NA NA NA
"aval" 173 "173_fs3" 16.6 0.544830136057075 8.3 0.0656421850671175 NA
"aval" 173 "173_fs3" 24.9 1.15139258959693 8.3 0.138721998746619 0.00880479682885556
"aval" 173 "173_fs3" 33.2 0.77700413603224 8.3 0.0936149561484626 -0.00543458344556096
"aval" 173 "173_fs3" 41.5 0.730770340444978 8.3 0.0880446193307203 -0.000671124917800277
"aval" 173 "173_fs3" 49.8 1.37524883751529 8.3 0.165692631025939 0.00935518213195407
"aval" 173 "173_fs3" 58.1 1.00224642699658 8.3 0.120752581565852 -0.00541446379037189
"aval" 173 "173_fs3" 66.4 1.43061892968815 8.3 0.172363726468451 0.00621821022922878
"aval" 173 "173_fs3" 74.7 1.40811536933951 8.3 0.16965245413729 -0.000326659317007336
"aval" 173 "173_fs3" 83 1.24949082496343 8.3 0.150541063248606 -0.0023025772155042
"aval" 173 "173_fs3" 91.3 1.08674535037134 8.30000000000001 0.130933174743535 -0.00236239620543017
"aval" 173 "173_fs3" 99.6 1.20517995723608 8.29999999999998 0.145202404486275 0.00171918430635421
"aval" 173 "173_fs3" 107.9 1.09128498676201 8.3 0.131480118886989 -0.0016532874216007
"aval" 173 "173_fs3" 116.2 1.0207222058873 8.30000000000001 0.122978579022566 -0.00102428191137632
"aval" 174 "174_fs1" 8.3 0 NA NA NA
"aval" 174 "174_fs1" 16.6 0.402923065843939 8.3 0.0485449476920409 NA
"aval" 174 "174_fs1" 24.9 0.480010786067466 8.3 0.0578326248274055 0.00111899724522466
"aval" 174 "174_fs1" 33.2 0.928311558637019 8.3 0.111844766100846 0.00650748690041446
"aval" 174 "174_fs1" 41.5 0.956942168205963 8.3 0.115294237133249 0.000415598919566632
"aval" 174 "174_fs1" 49.8 0.899044537566183 8.3 0.108318618983877 -0.000840435921610983
"aval" 174 "174_fs1" 58.1 0.820284152907912 8.3 0.0988294160130014 -0.00114327746637061
"aval" 174 "174_fs1" 66.4 0.804799239501561 8.3 0.0969637637953687 -0.000224777375618396
"aval" 174 "174_fs1" 74.7 0.806772988466353 8.3 0.0972015648754642 2.8650732541631e-05
"aval" 174 "174_fs1" 83 0.527050621335448 8.3 0.0635000748596926 -0.00406042048382791
"aval" 174 "174_fs2" 8.3 0 NA NA NA
"aval" 174 "174_fs2" 16.6 0.0536192698490979 8.3 0.00646015299386721 NA
"aval" 174 "174_fs2" 24.9 0.556110403230588 8.3 0.0670012534012757 0.0072941084828203
"aval" 174 "174_fs2" 33.2 0.638360042821452 8.3 0.0769108485327051 0.0011939271242686
"aval" 174 "174_fs2" 41.5 1.18168138545918 8.3 0.142371251260142 0.00788679550932977
"aval" 174 "174_fs2" 49.8 0.988381422026512 8.3 0.119082099039339 -0.00280592195431365
"aval" 174 "174_fs2" 58.1 0.94522250800304 8.3 0.113882229879884 -0.000626490260175242
"aval" 174 "174_fs2" 66.4 0.858945014956953 8.3 0.103487351199633 -0.00125239502171704
"aval" 174 "174_fs2" 74.7 0.826612433794803 8.3 0.0995918594933498 -0.000469336350154579
"aval" 174 "174_fs2" 83 0.905035423886489 8.3 0.109040412516445 0.00113837988230057
"aval" 174 "174_fs2" 91.3 0.609634201670443 8.30000000000001 0.0734499038157159 -0.00428801309647332
