1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,
60.77703184897928,-37.509705996192,58.11842425917615,-34.49557591520522,44.167770056569054,-32.344696308767084,36.207796439456274,-18.787091030067245,26.243716247919963,-9.812440104462382,17.43084740501837,-0.8277675633423769,19.398966213102483,11.909477089751363,31.621194509434304,27.237759168425384,37.385284553908434,42.06411121624865,44.51908896874386,57.784130572808294,55.69391886611902,72.83956176306987
60.719572301125254,-36.96388911339727,58.34770281452131,-34.069194815728906,44.68273607101452,-32.432007201587794,36.69641247932594,-19.07597231902355,26.70229639999377,-10.075452271168842,17.66956773973402,-1.254938940308989,19.210021020870613,11.39404417451658,31.305716536937666,26.73639753296669,37.141101854255,41.54515915601985,44.22515228845435,57.35000823537587,55.29912225587668,72.458803939517
60.6621957195199,-36.41807085177027,58.56959684612616,-33.64010043505675,45.20155647185885,-32.50802358678993,37.18551692230625,-19.363996915961707,27.161513817072205,-10.337707356742214,17.917153991123882,-1.6779075809147912,19.023895409117415,10.875793529088014,30.991688326079668,26.234969762100093,36.898239822552284,41.02619687103339,43.93339532865883,56.91457270054167,54.90661930655028,72.07585667324429
60.60490238169007,-35.87225002213984,58.78398025405875,-33.2083467849335,45.722940342803554,-32.57261898465845,37.6751017201708,-19.65126150582296,27.621378053581225,-10.599172440631321,18.180734400764493,-2.096660569640676,18.83313329830753,10.354762691389567,30.678975595551833,25.733572041071625,36.656519602891706,40.50725921539879,43.64383119851266,56.47783836311157,54.516418817591216,71.69073942825963
60.54769256516255,-35.326425435334954,58.99072693838701,-32.77398787710365,46.24559676755007,-32.62566691547863,38.16515539594258,-19.937862773548773,28.081860272653955,-10.859814602285098,18.459506540875793,-2.5111849909676494,18.640006273226675,9.83098919934514,30.367444064045742,25.23230055512761,36.41576233936462,39.98838104322539,43.356473007171076,56.03981961789134,54.12852958845076,71.30347166857104
60.490566547464084,-34.780595902184814,59.18971079917884,-32.33707772331218,46.768234829799894,-32.667040899535436,38.65569609118313,-20.22389740408039,28.542931637423578,-11.119600921152312,18.752666771419285,-2.921467929376547,18.446948296804578,9.304510590878635,30.056959450252975,24.731251489514023,36.175789176062324,39.46959720862276,43.07133386378939,55.6005308596869,53.74296041858031,70.91407285818633
60.433524537327685,-34.23476023351827,59.38080573650217,-31.897670335303474,47.28956361325447,-32.696614457113924,39.1467734388728,-20.50946208235905,29.00456331102339,-11.378498476681841,19.059411452356528,-3.3274964693483753,18.256393331971083,8.775364403914011,29.747387472865057,24.23052102947713,35.93642125707618,38.950942565700245,42.788483119148,55.15998648330407,53.35972010743109,70.52256246111347
60.37518962267649,-33.688917240164415,59.56388565042505,-31.455819724822504,47.8082922016153,-32.7142611084995,39.63843748201583,-20.79465349332611,29.466726456586514,-11.636474348322508,19.378936943649137,-3.7292576953639696,18.07077534165603,8.243588176375113,29.43859385057368,23.730205360263085,35.69747972649759,38.432451968567364,42.50828888950571,54.71820088354872,52.97881745445454,70.12895994136039
60.31436630608982,-33.143065732952095,59.73965477969034,-31.011579903613665,48.32312967858388,-32.71985437397689,40.130738263616536,-21.079568321922807,29.929392237246134,-11.893495615523136,19.710439605258614,-4.126738691904279,17.892528288789094,7.709219446185841,29.13044430207026,23.230400667118033,35.45878572841781,37.91416027133346,42.23073900278308,54.27518845522667,52.600260951709345,69.733284762935
60.25126854822412,-32.5972045227104,59.9151054577282,-30.56500488342192,48.832785127861655,-32.71326777383149,40.62372582667905,-21.364303253090497,30.392531816135488,-12.149529357732547,20.05311579714663,-4.519926543450197,17.72408613630006,7.1722957512701555,28.822804546046484,22.73120313528807,35.220160406928244,37.39610232810804,41.955740529137415,53.83096359314385,52.22372542308881,69.33555638984524
