1,,2,,3,,4,,5,,6,,7,,8,,9,,10,
92.81561474888076,-6.590723051168567,91.5425121299823,-5.744350257381399,79.03207393263074,-13.27724099515126,66.42725957559003,-20.326909693518473,59.76836622329307,-29.0019252612218,57.30162482557182,-37.166615254318344,51.5070153310125,-46.960563890988254,38.326463245670595,-55.30185316248006,25.237099730101534,-62.56750955658964,16.43590907524242,-73.32441681084117
92.3472581450552,-6.1857696179979484,91.09225748374604,-5.31857672767984,79.23560870421431,-12.696784179624899,66.70170266802336,-19.799952446431632,59.91712688708674,-28.41304297502856,57.43860598052623,-36.55402259208489,51.80282179826594,-46.42651527245093,38.75311962596402,-54.95301803466177,25.728956933298207,-62.18528293170033,16.842006183682656,-72.8754941781389
91.87788771676537,-5.782914738433618,90.64092407356986,-4.894335169429809,79.42741532876607,-12.112126584174177,66.97422114814071,-19.273031256898634,60.06862125005301,-27.82576592726005,57.5720357199736,-35.93935540394324,52.09334102623836,-45.889971777868595,39.17681343383629,-54.60140337352547,26.220765464187934,-61.804805253014365,17.248633488414328,-72.42652486349195
91.40750633930105,-5.3821146993703906,90.18851617874657,-4.471619886419262,79.6072463634357,-11.52353873727617,67.24480865007246,-18.74610570160678,60.222670780704505,-27.240097070437514,57.70186384976017,-35.32283989939327,52.378494362223876,-45.35098263802604,39.597506810867685,-54.247025909439,26.712525258385767,-61.425967827831556,17.655788184680205,-71.97753541599502
90.93611688795198,-4.983325787703052,89.73503807856883,-4.050425182436186,79.77485436537285,-10.931291167407807,67.51345880794895,-18.219135357243346,60.37909694755393,-26.65603935708222,57.828040175732326,-34.70470228793485,52.658203153516695,-44.80959708370801,40.01516189863867,-53.88990237277014,27.204236251506984,-61.04866196345162,18.063467467722944,-71.52855238474291
90.4637222380079,-4.586504290326332,89.28049405232935,-3.630745361268538,79.92999189172713,-10.335654403046135,67.7801652559005,-17.692079800495662,60.537721219113905,-26.073595739715415,57.95051450373637,-34.085168779067914,52.93238874741087,-44.26586434569933,40.42974083872963,-53.53004949388665,27.69589837916675,-60.67277896717431,18.47166853278526,-71.07960231883038
89.99032526475861,-4.191606494135044,88.8248883793209,-3.212574726704304,80.07241149964807,-9.736898972668172,68.04492162805758,-17.164898608051033,60.698365063897086,-25.492769170858395,58.06923663961862,-33.46446558229232,53.20097249120056,-43.719833654784765,40.84120577272097,-53.167484003156346,28.18751157698017,-60.29821014629937,18.880388575109862,-70.63071176735215
89.51592884349373,-3.7985886860239475,88.36822533883617,-2.79590758253147,80.20186574628542,-9.135295404750906,68.3077215585505,-16.637551356596703,60.86084995041608,-24.913562603032375,58.184156389225336,-32.84281890710798,53.46387573217987,-43.17155424174905,41.2495188421932,-52.80222263094703,28.679075780562528,-59.924846808126546,19.289624789939467,-70.18190727940302
89.04053584950316,-3.4074071528878562,87.9105092101679,-2.380738232537965,80.31810718878876,-8.531114227771326,68.56855868150961,-16.109997622820003,61.02499734718356,-24.335978988758683,58.295223558402824,-32.22045496301479,53.72101981764297,-42.62107533737699,41.6546421887266,-52.43428210762647,29.170590925528927,-59.55258025995562,19.699374372516786,-69.73321540407773
88.56414915807653,-3.0180181816215566,87.45174427260883,-1.967060980511775,80.42088838430766,-7.924625970206421,68.8274266310653,-15.582196983408267,61.19062872271218,-23.760021280558504,58.40238795299746,-31.59759995951265,53.972326094883954,-42.06844617245338,42.05653795390168,-52.063679163562455,29.662056947494534,-59.181301809086335,20.109634518084533,-69.28466269047101
88.08677164450364,-2.630378059119778,86.9919348054517,-1.5548701302408574,80.50996188999187,-7.316101160533236,69.08431904134801,-15.05410901504871,61.3575655455146,-23.185692430953168,58.50559937885555,-30.974480106101396,54.21771591119699,-41.513715977762956,42.455168279298846,-51.69043052912281,30.153473782074627,-58.810902762818415,20.52040242188542,-68.83627568767764
87.60840618407423,-2.244443072277363,86.5310850879892,-1.1441599855132267,80.58508026299091,-6.705810327228761,69.33922954648801,-14.525693294428692,61.52562928410339,-22.612995392463915,58.604807641823356,-30.351321612280998,54.457110613876125,-40.95693398409054,42.85049530649843,-51.314552934675305,30.644841364884257,-58.441274428451635,20.931675279162107,-68.38808094479239
87.12905565207802,-1.860169507989042,86.06919939951405,-0.7349248501168404,80.64599606045442,-6.094023998769984,69.59215178061567,-13.99690939823546,61.69639269694892,-22.04193311761199,58.69898543571884,-29.728350687551284,54.69043155021558,-40.398149422220854,43.24248117708089,-50.936063110587725,31.136159631538703,-58.072308113285715,21.34345028515736,-67.94010501090997
86.64872292380483,-1.4775136531496287,85.606282019319,-0.3271590278396559,80.69246183953209,-5.481012703633894,69.84307937786144,-13.467716903156372,61.879045834737724,-21.47250855891869,58.78596373760024,-29.105793541412197,54.9176000675094,-39.83741152293874,43.63108803262668,-50.55497778722787,31.627428517653073,-57.70389512462046,21.755724635113836,-67.49237443512521
86.16741087454432,-1.0964317946538813,85.14233722669672,0.07914317753034084,80.72423015737348,-4.867046970297565,70.09200597235565,-12.938075385878676,62.07432461281968,-20.90472466890526,58.866373093060986,-28.483876383363622,55.1385375130518,-39.274769517028915,44.016278014716136,-50.171313694963544,32.118647958842644,-57.33592676975556,22.168495524274306,-67.0449157665328
