1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,
118.31707683624433,10.87960301868759,114.12163215118716,15.227427395514667,103.59165949826462,9.775017655472084,83.16449546519345,6.3390312763064,61.83126085957116,1.2205673451589973,51.03941375220904,-12.9711975018119,48.426274911476526,-31.42686985003195,53.295001140574016,-50.92651952129711,61.77306666529432,-62.95943958485873,70.03124772256984,-71.35477996105311,79.91751483565878,-77.77253974034187,89.5061573791358,-79.13343244310062,98.13358942989436,-81.0966684847453,105.29065045046838,-79.72784242399081,111.83235081945958,-77.71559784280288,116.35950625321715,-75.30883635213257,122.80815021050824,-71.18336089379198
117.93447680283788,11.72682174823484,113.97681973343157,16.09119259870232,103.98125535201126,10.503047121916836,83.86382515319377,6.73819197252169,62.56090250355038,1.7596759770691506,51.283028294545375,-12.171098317697215,48.3633113040666,-30.548736811384572,52.948313574371014,-50.121548525289654,61.199983814573386,-62.19730765914784,69.41649613043569,-70.65419726689748,79.21453790690697,-77.206438673131,88.7884934056624,-78.64321270912802,97.3614041014809,-80.63057829775659,104.5030187738086,-79.37840271841407,110.99309650220852,-77.38728750410934,115.51689495367435,-74.97049326880364,121.97328293838387,-70.96323430110482
117.55179100645461,12.574567373838192,113.82941721132596,16.954211662654075,104.35421920377627,11.236666043350283,84.55925650317522,7.140618742836693,63.2972759141075,2.2930039780530365,51.558609905824426,-11.376834819528256,48.31145068801919,-29.669928392413453,52.61861241882133,-49.31191937158883,60.629684566509695,-61.43218373764887,68.80179760108399,-69.95354085937805,78.5112754614695,-76.64182556176507,88.06748103820848,-78.15922090838063,96.58719083519628,-80.16778429441496,103.71313117236303,-79.03442905088792,110.15169690213378,-77.06545046871969,114.67492188240243,-74.63638699709662,121.13567294636829,-70.75706737910633
117.16901991681476,13.422790379702406,113.67961906336899,17.81642918319875,104.71010396018659,11.975731919790462,85.25074552966112,7.546470765649133,64.03998150385638,2.8205937373041365,51.86665001938695,-10.588565684695368,48.270763418232605,-28.79064807841803,52.30618182552996,-48.49772415371234,60.062329642044574,-60.664137148554005,68.18685255812835,-69.25283451116155,77.80772750296836,-76.07857080218577,87.34313112100659,-77.68122916357908,95.81095490023534,-79.70840873210972,102.92097485282278,-78.6958872380805,109.30692397355386,-76.75031820390126,113.83339820266559,-74.30755657302342,120.29532420155925,-70.56468120510277
116.78616400363848,14.271441250032296,113.52761976805942,18.67778975616511,105.0484625278695,12.720102251255412,85.93824824717467,7.955907219356789,64.78861968541094,3.3424876440159323,52.205389582712314,-9.80644959058884,48.24131984960525,-27.911099354697853,51.99852689438757,-47.67905496517801,59.498079762119175,-59.893237220055425,67.57061688347778,-68.55210199491472,77.10389403502523,-75.51654479033476,86.61545449828941,-77.20900959744375,95.03270156579282,-79.25257386822994,102.12653702187896,-78.36274309665981,108.45863535780853,-76.44212217692183,112.99210694181835,-73.98504103259626,119.45224067105477,-70.38589685640085
116.40322373664588,15.120470469032625,113.37361380389558,19.53823797738187,105.36948955451504,13.469634537763284,86.6217206702392,8.369087282357384,65.5427908713852,3.8587280873818486,52.57306954327976,-9.030645214599076,48.22319033703542,-27.03148570655219,51.68820328194272,-46.85600389950366,58.93709564767477,-59.119553280345315,66.95316323140133,-67.85136708330452,76.399775061262,-74.95561792215386,85.88275886605533,-76.7423343326954,94.25241415773229,-78.80040196016495,101.32980488622246,-78.03496244329386,107.60699915311062,-76.14109385504895,112.1508311272151,-73.66987941182725,118.60599471250526,-70.22053541030704
116.02019958555724,15.969828520908152,113.21779564937611,20.397718442677842,105.68714474875179,14.224186279332116,87.30111881337797,8.786170133048756,66.30209547439296,4.3693574565954805,52.9679308485687,-8.261311234116363,48.21644523542153,-26.152010619280645,51.376348910862134,-46.028663050207,58.37953801965244,-58.3431546576158,66.33467621318522,-67.15065354899781,75.69537058530045,-74.39566059358452,85.142134646226,-76.28097549205455,93.46935624061797,-78.35201526530392,100.53043482188474,-77.71251109465067,106.75218345767286,-75.8474647055503,111.30935378621069,-73.36311074672864,117.75399370707288,-70.0684179441277
115.63709202009255,16.819465889863693,113.0603597829998,21.256175747881798,106.00664064823098,14.983614975979947,87.9763986911143,9.207314949828628,67.0661339070482,4.8744181408503096,53.3882144460585,-7.498606326531046,48.22147413251844,-25.272877578182545,51.06410170381241,-45.19712451080585,57.82556759899353,-57.564110680059116,65.71534044011554,-66.4499851646612,74.99068061076247,-73.83654320056866,84.39395192863759,-75.82470519824147,92.68324051315363,-77.90753604103617,99.72755915749718,-77.39535486739834,105.89435636970796,-75.56146619569353,110.46745794615964,-73.0657740733123,116.89608377219776,-69.92936553516944
115.2539015099722,17.66933306010401,112.90150068326506,22.113554488822558,106.32714340058277,15.747778127724871,88.64751631797145,9.63268091109478,67.83450658196483,5.373952529339817,53.8321612832284,-6.742689169233472,48.23837715925248,-24.394290068557382,50.752599583460324,-44.36148037481803,57.27534510663912,-56.78249067586751,65.09534052347868,-65.74938570296177,74.28570514126977,-73.27813613904794,83.63865355354164,-75.37329557397703,91.8941682555024,-77.467086544751,98.92125052496539,-77.08345957820467,105.03368598742878,-75.28332979274609,109.62492663441645,-72.77890842759047,116.03260102051303,-69.80319926073872
114.87062852491607,18.519380515833916,112.74141282867055,22.969799261328774,106.64781915343707,16.516533234584983,89.31810639561456,10.062427195244993,68.60681391175672,5.868003011257429,54.29801230755777,-5.9937184396139855,48.26654031865024,-23.516451575704593,50.442980472472414,-43.52182273576125,56.729031263530544,-55.99836397323304,64.47486107456069,-65.04887893656604,73.58044418044432,-72.72030980496407,82.87668236118958,-74.92651874198151,91.10224074782747,-77.0307890338375,98.11163834475025,-76.776791043738,104.17034040904804,-75.01328696397576,108.78154287833576,-72.50355284557526,115.16388156465217,-69.68974019814215
