"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"154" "Amont" 2850.06 0.249764 97.6194 0.799247 1.76461 0.532712 2254.83 101.334 28774.1468703724 29807.7418006661 35214.4314463098 31.5662582139251 81.5797811274354 70.6426776309445 "Cauterets" "Cauterets.Amont" 1.862 59.624
"155" "Amont" 627.488 0.199955 95.2524 65.8355 2.24888 2.43212 388.272 88.3259 15389.4464838139 12904.5797523568 10429.8071340177 9.76503856618824 9.15335093249094 8.88335834865677 "Lees Athas" "Lees Athas.Amont" 4.035 77.149
"177" "Amont" 90.4787 NA 0 NA 0 99.8169 37.8539 0.531125 18530.7985972797 18049.7657457971 7763.77205099664 7.21942705251804 43.7074647564573 42.7368137030444 "Cauterets" "Cauterets.Amont" 2.318 65.3
"178" "Amont" 2668.63 0.199807 91.4267 15.0355 7.17496 1.33178 1599.25 81.2178 27980.9374595664 28295.0764579619 33599.2277074572 18.628021102065 43.6727367713185 39.8913289170301 "Cauterets" "Cauterets.Amont" 2.09 60.326
"179" "Amont" 2324.83 0 93.7906 41.1118 3.84551 2.36391 1011.19 71.2811 24871.7307043834 19970.2054993438 22560.3212863028 16.8522149043545 19.2074721336886 14.1446367861119 "Cauterets" "Cauterets.Amont" 5.526 84.659
"180" "Amont" 122.743 0.249762 0.0166471 NA 0 99.9001 10011.5 1.92242 16744.589046595 12509.6205053524 7788.52377622126 14.2201237152646 4.79677924382273 4.40389869065703 "Cauterets" "Cauterets.Amont" 3.305 70.08
"182" "Amont" 501.67 129.475 51.6897 129.175 2.36391 43.8322 2611.29 36.4023 19840.0466748776 15230.318085367 14895.8118978843 81.5330073826986 54.6177628229923 57.4804850458865 "Lees Athas" "Lees Athas.Amont" 20.787 125.93
"183" "Amont" 1510.79 0 88.5966 135.722 7.70767 3.69569 42972.8 124.957 36903.8908537567 26228.0693317783 27018.6733566991 65.4508389890291 78.7066715482991 66.9857685862839 "Lees Athas" "Lees Athas.Amont" 7.491 95.056
"184" "Amont" 1140.85 114.796 55.3021 113.997 4.31164 40.2031 7620.18 90.4652 24287.7710507534 24916.1549803804 18248.314449164 60.7110749712853 186.21564906553 89.3020895503526 "Lees Athas" "Lees Athas.Amont" 10.442 107.561
"185" "Amont" 1691.04 0 91.3268 0.049957 5.95971 2.7135 1316.59 197.621 31001.2177119176 21972.6297058087 26495.8781807998 31.6707412292892 38.8682302059637 37.0365850132767 "Cauterets" "Cauterets.Amont" 4.025 77.529
"186" "Amont" 315.255 0 100 NA 0 0 3173.4 32.6639 20584.9979093128 20935.746891332 13645.2710669114 22.1465818689034 117.529359169455 97.0787270429025 "Lees Athas" "Lees Athas.Amont" 6.251 88.361
"194" "Amont" 2931.53 0 77.8055 41.3705 15.8009 6.39361 2038.75 192.444 32097.9614058947 35020.6345181284 37135.1517422102 34.4434088893318 79.1658077945427 71.9577021322663 "Lees Athas" "Lees Athas.Amont" 1.765 57.885
"195" "Amont" 530.773 0.149889 91.7582 257.81 6.80986 1.38195 52944 96.6225 15588.2988053256 15736.9628663598 9489.72128122577 8.1352106599956 10.7604035634797 13.8130284603669 "Cauterets" "Cauterets.Amont" 1.895 60.359
"196" "Amont" 827.691 45.4062 75.2788 44.9566 6.79207 17.9291 904.435 90.9736 24345.8053675129 17691.4209746132 17839.538662958 25.2273635427547 53.328818009687 43.5549866682346 NA NA NA NA
"197" "Amont" 3285.43 54.9976 79.6571 54.6479 1.91443 18.4285 2641.74 275.229 38088.6556499003 36274.1444865083 42979.8681174454 49.0724049798656 61.4109779335402 73.3987966631111 "Cauterets" "Cauterets.Amont" 1.89 60.038
"198" "Amont" 806.447 143.162 50.9239 142.213 1.68137 47.3947 1828.65 65.8381 36605.1277441752 40517.2533659639 12572.3231968467 77.6484314782001 142.430030585573 24.0472798939157 "Lees Athas" "Lees Athas.Amont" 17.65 107.254
"199" "Amont" 1767.16 124.283 50.025 123.784 6.9752 42.9998 807.901 214.524 27687.9149051312 27520.8599648303 26304.8539317785 26.6012634923856 65.7626124347893 69.352287913359 "Cauterets" "Cauterets.Amont" 2.471 66.199
"200" "Amont" 1503.87 0.249764 82.9033 0 10.9872 6.10954 2262.02 101.117 21985.7793030105 22154.0456874986 18464.6327591313 23.9619322401596 106.34966796764 98.2369301614848 "Lees Athas" "Lees Athas.Amont" 12.228 107.093
"201" "Amont" 180.768 197.122 34.31 196.622 0.166472 65.5236 91.8836 19.1121 17714.8083824873 14047.4248755049 8722.66889573894 8.98316549889167 14.9116844864327 12.6930480558214 "Cauterets" "Cauterets.Amont" 2.976 66.77
"202" "Amont" 3331.28 0.399672 93.4232 14.2883 5.07826 1.3653 6975.15 194.564 49191.3669061559 47750.6386759356 54994.8511557353 77.5752154394818 226.999584142864 230.756326296159 "Lees Athas" "Lees Athas.Amont" 5.238 78.696
